beta,target,closed_score,axial_score,square_score,cube_score,margin,face_mass,face_occ,inner_r,outer_r,gap,axial_frac,closed_frac,cube_frac,square_frac
5.0,0.77,0.5938520954433162,0.08106953934014857,0.06083121077873245,0.08057407608209223,0.49081149271763724,0.11995609799470205,0.7289665713266121,5.426525869445909,7.3139346985825835,1.8874088291366742,0.027777777777777776,0.9166666666666666,0.0,0.05555555555555555
5.0,0.78,0.6153015875238455,0.07658946188642543,0.0776653036720793,0.09050816474856044,0.498339996642794,0.127153012951836,0.7725041325876022,5.556005936478403,7.60353523604449,2.0475292995660874,0.027777777777777776,0.9722222222222222,0.0,0.0
5.0,0.79,0.5782157509580156,0.08910666745305645,0.07476047347245554,0.09136589065006563,0.47717300543100793,0.1354481001441762,0.7451851523642711,5.475137833313853,7.648830084690873,2.1736922513770214,0.027777777777777776,0.9166666666666666,0.0,0.05555555555555555
5.0,0.8,0.521748090636988,0.1141049445790948,0.0666050448792463,0.09248434366178365,0.40247464368164876,0.15486256217090755,0.6827121321829132,5.435074623222745,7.458777185794576,2.0237025625718297,0.05555555555555555,0.8888888888888888,0.0,0.05555555555555555
5.0,0.81,0.5361869140401958,0.11535747531924564,0.08138618525897265,0.10153287842170369,0.42974291001840864,0.1640754660322932,0.6953121367524762,5.595776484504741,7.623486865099199,2.0277103805944585,0.08333333333333333,0.8611111111111112,0.05555555555555555,0.0
5.0,0.82,0.4881845473242514,0.1326037823591789,0.05346815657771165,0.08991577667641693,0.3931972227822665,0.16590718512109592,0.6503327172166254,5.594963071735778,7.231573574255226,1.6366105025194475,0.08333333333333333,0.9166666666666666,0.0,0.0
5.0,0.83,0.5446143724568334,0.12012039452025221,0.05167275496044482,0.08529204327117933,0.474220429442321,0.1518781386340188,0.6788547910306092,5.577652951648999,7.103460637107737,1.5258076854587383,0.08823529411764706,0.8529411764705882,0.0,0.058823529411764705
5.0,0.84,0.6051546440204598,0.0848332586034648,0.059421815375353154,0.08061191685298011,0.5242122876088816,0.12260632639671108,0.7431421494232284,5.962201679628725,7.187816887051195,1.225615207422471,0.029411764705882353,0.9117647058823529,0.058823529411764705,0.0
5.0,0.85,0.6360963549891552,0.09432112770623882,0.05328047469156836,0.0825956705215801,0.5483654033365104,0.12974172832469838,0.7063455922950655,6.162150199885613,7.233456363744813,1.0713061638591999,0.029411764705882353,0.9705882352941176,0.0,0.0
5.0,0.86,0.6160000470101172,0.094192959334491,0.05105463543031208,0.07953875344561559,0.5330341422546463,0.12715849714415633,0.6914222064404356,6.1021072040139295,7.192768577025196,1.0906613730112658,0.03125,0.96875,0.0,0.0
10.0,0.75,0.571733983968168,0.07899656255329222,0.05961632885941499,0.08695811930623308,0.47350129201587937,0.11950200676072158,0.7315214161617898,5.0669905786278555,6.660621216848468,1.5936306382206116,0.041666666666666664,0.9583333333333334,0.0,0.0
10.0,0.76,0.5744622437152895,0.07326187923924109,0.050874041058175,0.0828473557430322,0.4830020669050978,0.11099848515724449,0.7530794632156544,5.344276629421057,7.013802802735296,1.6695261733142388,0.0,1.0,0.0,0.0
10.0,0.77,0.7347287449310923,0.053292734549771854,0.07204415671674888,0.09505961777969174,0.6379000636520351,0.10804993693358295,0.9069190205170398,5.744022171066001,6.778101363914558,1.0340791928485573,0.041666666666666664,0.9583333333333334,0.0,0.0
10.0,0.78,0.6958278812675734,0.05355733193296183,0.061101152788436267,0.07641082629997019,0.6098088376039108,0.09645414625709033,0.8341951604405395,5.513817309838445,6.790627735422315,1.2768104255838701,0.0,1.0,0.0,0.0
10.0,0.79,0.5085327649440758,0.10002851673081369,0.05669406572326129,0.08392668386108686,0.39799035550426515,0.13484216423519796,0.6349153261149145,5.512812739023504,6.722102598387795,1.2092898593642913,0.0,1.0,0.0,0.0
10.0,0.8,0.5188523302760417,0.09512813707677228,0.07199372055013542,0.09487469609934789,0.3935608817195281,0.14037769843274991,0.6966774698750777,5.324051331397353,6.9687630727509955,1.6447117413536438,0.0,1.0,0.0,0.0
10.0,0.81,0.5080027077465464,0.11165564849783001,0.051155878201089626,0.08525032655976261,0.3807472929644273,0.14388008453068896,0.6131191658506953,5.457609656791358,7.178881550907507,1.7212718941161496,0.0,1.0,0.0,0.0
10.0,0.82,0.5679555295605158,0.08178305860711857,0.04422786199751896,0.07307629980526152,0.46959747440194755,0.11276907825035454,0.6660530871581485,5.40199946099595,6.984064740874641,1.582065279878691,0.0,1.0,0.0,0.0
10.0,0.83,0.5617530399846963,0.09035042585327688,0.05131850421106472,0.07939997618384464,0.45814757696144537,0.12370454083778044,0.6749760038908921,5.694603159950674,7.135473606819921,1.4408704468692473,0.0,1.0,0.0,0.0
10.0,0.84,0.5585967043497132,0.08846764115062107,0.061659384267099555,0.08780027435511627,0.4382295484727512,0.13082718387359812,0.7440418079854604,5.529247430094929,7.062717996063029,1.5334705659681003,0.0,1.0,0.0,0.0
10.0,0.85,0.5898997809996789,0.09134724104583193,0.07111049616633053,0.08515153863644148,0.5140122381574374,0.13392034200447156,0.7439242619371869,4.880055394904285,6.198655313713003,1.3185999188087179,0.09375,0.90625,0.0,0.0
10.0,0.86,0.5980781108417916,0.09006356033584745,0.08245554697003457,0.0877144329823992,0.5175326491755944,0.13685024074811486,0.7347816814938884,4.885589521791846,6.209928209195048,1.324338687403202,0.06060606060606061,0.9090909090909091,0.0,0.030303030303030304
