geometry,beta,criterion,metric,real,fft_phase_mean,fft_phase_sd,z_vs_fft_phase,exceed_vs_fft_phase
cubic,1.5,xyz_only,outer_gap,3.232262836700091,3.584800536404768,0.345601371279311,-1.0200703151109325,0.125
cubic,2.0,score_q,n_valid_bands,9.0,6.625,0.6959705453537527,3.4125007385038204,1.0
cubic,2.0,score_q,same_sector_mean,0.8580928080357363,0.7587679631003348,0.04841383316269971,2.051579857342807,1.0
cubic,2.0,score_q,same_shell_mean,0.9854749043233048,0.9750422229808221,0.00886867026418589,1.1763523764589956,1.0
cubic,2.0,score_q,deficit_fill_mean,-0.044617381830149926,0.0015238199759993521,0.005666029327654302,-8.14348093342961,0.0
cubic,2.0,score_q,completion_gain_mean,-0.0008816321564340708,0.004930545519789727,0.0023177658978906853,-2.5076638149718167,0.0
cubic,2.0,score_q,same_sector_outer,0.6781155669615121,0.6957746294574041,0.17070360521024705,-0.10344867921236209,0.375
cubic,2.0,score_q,same_shell_outer,0.9383798590562755,0.9468573094876604,0.04239169928484741,-0.19997901886927064,0.25
cubic,2.0,score_q,deficit_fill_outer,-0.010342709662319531,0.00095940506643304,0.0182782107681848,-0.6183381333914141,0.375
cubic,2.0,score_q,completion_gain_outer,-0.003684125993832426,0.0035565577122167536,0.003964147649636966,-1.8265423854446323,0.0
cubic,2.0,score_q,outer_radius,9.656890715231349,9.979103998908926,0.37186417152717555,-0.8664811195804152,0.125
cubic,2.0,score_q,outer_gap,5.637152500115732,4.050833677892312,0.6286883182145909,2.523219815386226,1.0
cubic,2.0,score_iso,n_valid_bands,4.0,7.5,1.118033988749895,-3.130495168496905,0.0
cubic,2.0,score_iso,same_sector_mean,0.8150907239997648,0.7591767182924495,0.04116564353700958,1.3582687139504594,0.75
cubic,2.0,score_iso,same_shell_mean,0.9611347243769321,0.9778281359332979,0.007703747231974584,-2.166920986829942,0.0
cubic,2.0,score_iso,deficit_fill_mean,0.006793609304065485,-0.014283548777866376,0.00858038452961703,2.4564351407239515,1.0
cubic,2.0,score_iso,completion_gain_mean,0.0004550070032739869,0.004718107408990059,0.001258415896512644,-3.3876720837224155,0.0
cubic,2.0,score_iso,same_sector_outer,0.8418111048470356,0.7565151465913105,0.16560491431223046,0.5150569269604741,0.625
cubic,2.0,score_iso,same_shell_outer,0.9366366179449319,0.9707003679790871,0.01865806907248612,-1.825684635424636,0.0
cubic,2.0,score_iso,deficit_fill_outer,-0.015140635662018401,-0.018856506374460305,0.028049185911916318,0.13247695401850468,0.5
cubic,2.0,score_iso,completion_gain_outer,-0.0038861026252401086,0.004128876825669445,0.0029239302401849916,-2.74116644029828,0.0
cubic,2.0,score_iso,outer_radius,10.16286444645126,10.21169148877484,0.5045643618089998,-0.09677069174767648,0.5
cubic,2.0,score_iso,outer_gap,3.5290616561606765,3.762514540766232,0.3937797604125157,-0.5928514059747568,0.25
cubic,2.0,q_only,n_valid_bands,9.0,7.25,0.82915619758885,2.1105794120417998,1.0
cubic,2.0,q_only,same_sector_mean,0.8479634096166095,0.7657363014288341,0.025926186008537824,3.1715852134025977,1.0
cubic,2.0,q_only,same_shell_mean,0.9804236313245062,0.9777996623510885,0.00809554425752267,0.3241250853091496,0.375
cubic,2.0,q_only,deficit_fill_mean,-0.04272510142912941,-0.012011289959035148,0.0055872769758647575,-5.497098425095259,0.0
cubic,2.0,q_only,completion_gain_mean,0.003932659087181875,0.004676266119000776,0.0021580872284960766,-0.3445676438169447,0.375
cubic,2.0,q_only,same_sector_outer,0.9504475402926582,0.7442511952466855,0.15337822152252484,1.3443652103786243,1.0
cubic,2.0,q_only,same_shell_outer,0.9807033144917726,0.9588833992884582,0.010467621830599516,2.0845150459529136,1.0
cubic,2.0,q_only,deficit_fill_outer,-0.08060836871820755,-0.011828956300446055,0.014041430447412717,-4.898319488919059,0.0
cubic,2.0,q_only,completion_gain_outer,8.461795316734187e-05,0.003891628256436499,0.004718092849432842,-0.8068960115780465,0.25
cubic,2.0,q_only,outer_radius,10.218158847354157,10.027441823280478,0.40421679530586024,0.4718186534750416,0.875
cubic,2.0,q_only,outer_gap,3.7898884189006257,3.5945299603341807,0.5179494676185172,0.37717667606515276,0.625
cubic,2.0,xyz_only,n_valid_bands,4.0,7.0,1.118033988749895,-2.6832815729973474,0.0
cubic,2.0,xyz_only,same_sector_mean,0.8150907239997648,0.7660236245252957,0.02753385013157074,1.7820645946069824,1.0
cubic,2.0,xyz_only,same_shell_mean,0.9611347243769321,0.9786306421738604,0.008212739298295165,-2.1303388746833605,0.125
cubic,2.0,xyz_only,deficit_fill_mean,0.006793609304065485,-0.024931553839564524,0.0069955085510161686,4.5350760288165946,1.0
cubic,2.0,xyz_only,completion_gain_mean,0.0004550070032739869,0.004300155249749596,0.0022189930029121448,-1.7328347767192185,0.125
cubic,2.0,xyz_only,same_sector_outer,0.8418111048470356,0.7837166782079662,0.11627506949252914,0.49962925751940673,0.625
cubic,2.0,xyz_only,same_shell_outer,0.9366366179449319,0.954824243369875,0.03187142770429551,-0.5706561247622178,0.25
cubic,2.0,xyz_only,deficit_fill_outer,-0.015140635662018401,-0.01999456940667183,0.014449284724581337,0.3359289983441128,0.5
cubic,2.0,xyz_only,completion_gain_outer,-0.0038861026252401086,0.004308337945679146,0.0023629122755443022,-3.4679410878948964,0.0
cubic,2.0,xyz_only,outer_radius,10.16286444645126,9.893916772901715,0.3206969813035634,0.8386348772460951,0.875
cubic,2.0,xyz_only,outer_gap,3.5290616561606765,3.567884838610617,0.3880300780078903,-0.10005199248768243,0.5
cubic,5.0,score_q,n_valid_bands,5.0,6.375,0.8569568250501305,-1.604514906474968,0.0
cubic,5.0,score_q,same_sector_mean,0.8492921033365247,0.7785575252335091,0.07466067381648639,0.9474141403536166,0.875
