beta,metric,real,fft_phase_mean,z_vs_fft_phase,exceed_vs_fft_phase,n_sur_valid
2.0,deficit_fill,-0.0385611307108196,-0.031654070770631274,-0.13801997335060462,0.35260695187165775,11.617647058823529
2.0,gap,1.7855766450776387,3.2287498795612617,-1.7126576139579628,0.17825311942959002,11.617647058823529
2.0,inner_r,5.871131321678234,6.011772758064593,0.24984269291894154,0.5122549019607844,11.617647058823529
2.0,n_band,26.294117647058822,28.077985739750446,-0.21118986547761254,0.42228163992869877,11.617647058823529
2.0,outer_r,7.656707966755873,9.240522637625855,-1.4967195117865975,0.26844919786096255,11.617647058823529
2.0,same_sector,0.7107769858843522,0.5497969093083156,1.0101995939355977,0.7107843137254902,11.617647058823529
2.0,same_shell,0.9341988934777552,0.961621812253977,-1.1587977998097834,0.4251559714795009,11.617647058823529
5.0,bw_selected,0.011805555555555555,0.01103219696969697,0.5337848629512912,0.36342592592592593,11.916666666666666
5.0,carrier_vs_space_sector,-0.020474670804046954,-0.21646085072842614,1.4432131842148772,0.8080808080808081,11.916666666666666
5.0,completion_gain,0.0008767103020643272,0.0018163193609999648,-0.1896088102475972,0.4132996632996633,11.916666666666666
5.0,deficit_fill,-0.04441556402657219,-0.012302401349876412,-1.0236212091159564,0.2750420875420876,11.916666666666666
5.0,gap,2.2524119967607494,3.359693843356728,-1.4645001671313038,0.14183501683501681,11.916666666666666
5.0,inner_r,4.981034790771268,5.834707088570426,-0.7462499327833577,0.27314814814814814,11.916666666666666
5.0,n_band,33.166666666666664,28.77209595959596,0.7854904727573818,0.5151515151515151,11.916666666666666
5.0,outer_r,7.233446787532017,9.194400931927154,-2.4109251333398416,0.04755892255892255,11.916666666666666
5.0,same_sector,0.881740707539221,0.49328274495416125,2.6685334900560393,0.9368686868686869,11.916666666666666
5.0,same_shell,0.9777428217000703,0.9637586284316801,0.24580006033844606,0.5761784511784511,11.916666666666666
10.0,bw_selected,0.012903225806451613,0.010955522971652002,0.3896028925589609,0.30596285434995113,11.96774193548387
10.0,carrier_vs_space_sector,0.02040974930890926,-0.21246580885439495,1.653533430225665,0.8360215053763441,11.96774193548387
10.0,completion_gain,-0.0001810127203109551,0.0023149673395587147,-0.3230870336943309,0.1859726295210166,11.96774193548387
10.0,deficit_fill,-0.049152150136070966,-0.009285607699824602,-1.3641092090776696,0.20967741935483872,11.96774193548387
10.0,gap,1.535350767125624,3.385419369777234,-2.8294506350049704,0.04081133919843597,11.96774193548387
10.0,inner_r,5.017984845857941,5.740717054442827,-0.6475734222000378,0.2856793743890518,11.96774193548387
10.0,n_band,34.70967741935484,29.74902248289345,0.6497976207736618,0.4887585532746823,11.96774193548387
10.0,outer_r,6.553335612983565,9.126136424220062,-3.42542748464446,0.01075268817204301,11.96774193548387
10.0,same_sector,0.8973004364135797,0.5112862894296119,2.628765283797678,0.9301075268817204,11.96774193548387
10.0,same_shell,0.9909808383590721,0.9629277966415756,0.7090688503843375,0.7446236559139785,11.96774193548387
