geometry,beta,criterion,metric,real,fft_phase_mean,fft_phase_sd,z_vs_fft_phase,exceed_vs_fft_phase,n_sur_valid
cubic,1.0,q_only,same_sector,0.8918106210791427,0.3655201155269118,0.3043240743467659,1.7293751954398888,1.0,12
cubic,1.0,q_only,same_shell,0.9642077688176222,0.9619091410044452,0.03930581133121819,0.05848060974364808,0.4166666666666667,12
cubic,1.0,q_only,deficit_fill,-0.07787669285816551,0.010733455520985114,0.05549977836279703,-1.5965856259518285,0.0,12
cubic,1.0,q_only,completion_gain,0.00029588973177061765,0.0011518262601994047,0.001444056326425389,-0.5927307073643298,0.25,12
cubic,1.0,q_only,carrier_vs_space_sector,0.3572534834236165,-0.30841851255476477,0.2552884054088069,2.607529295777448,1.0,12
cubic,1.0,q_only,n_band,16.0,30.166666666666668,7.1394833302012985,-1.984270571336323,0.0,12
cubic,1.0,q_only,inner_r,6.224949798994366,5.372287798553535,1.0125018733452478,0.8421337509459046,0.6666666666666666,12
cubic,1.0,q_only,outer_r,8.04673846971554,9.273853996134772,0.6599240349583648,-1.8594799725619808,0.08333333333333333,12
cubic,1.0,q_only,gap,1.8217886707211743,3.9015661975812344,1.1314263882431164,-1.8381907550235848,0.0,12
cubic,1.0,q_only,bw_selected,0.01,0.0075,0.0025,0.9999999996000002,0.5,12
cubic,1.0,xyz_only,same_sector,0.9998456820302272,0.4582227485664937,0.07906875768721824,6.850024577336173,1.0,8
cubic,1.0,xyz_only,same_shell,0.9998285688402525,0.9539917487006302,0.041403444413065336,1.1070774615082724,1.0,8
cubic,1.0,xyz_only,deficit_fill,-0.05214991565551809,-0.006792561858305502,0.024807801604719102,-1.8283503922716018,0.125,8
cubic,1.0,xyz_only,completion_gain,0.00020039954432837792,0.0019372014048349069,0.001918934501593273,-0.905086577035012,0.25,8
cubic,1.0,xyz_only,carrier_vs_space_sector,0.04860663341233795,-0.2590985178029801,0.09003484546436266,3.417622917270352,1.0,8
cubic,1.0,xyz_only,n_band,48.0,23.75,4.656984002549289,5.207232832820566,1.0,8
cubic,1.0,xyz_only,inner_r,7.262919523166975,5.972984389695087,1.3022456216075655,0.9905467233428117,0.75,8
cubic,1.0,xyz_only,outer_r,11.947803145348521,9.21955392072645,0.9849817984724107,2.7698473503271748,1.0,8
cubic,1.0,xyz_only,gap,4.684883622181546,3.246569531031362,0.7075562850012814,2.0327910607783615,1.0,8
cubic,1.0,xyz_only,bw_selected,0.005,0.02375,0.00484122918275927,-3.872983345407417,0.0,8
cubic,1.5,score_q,same_sector,0.3560241046865898,0.6565148596740451,0.18930293223909475,-1.5873539381119568,0.08333333333333333,12
cubic,1.5,score_q,same_shell,0.965508777701428,0.9712950350978046,0.02860157702113644,-0.20230553692540418,0.3333333333333333,12
cubic,1.5,score_q,deficit_fill,0.04641959331874013,-0.05168776709166867,0.04129857406526136,2.3755629008643435,1.0,12
cubic,1.5,score_q,completion_gain,-0.0013470705412607798,0.0006015072411363957,0.0008070307048288,-2.4145026556282465,0.0,12
