geometry,beta,criterion,kind,level,gap,inner_r,outer_r,inner_count,outer_count,same_sector,same_shell,deficit_fill,completion_gain
cubic,0.0,score_q,fft_phase_6,0.25,3.9544893747770384,5.223775383547519,9.178264758324557,58.0,91.0,0.8894324170626067,0.9964336517565713,0.0009447678726042866,0.006261110303247587
cubic,0.0,score_q,fft_phase_6,0.35,3.5494278561085615,5.788766801972262,9.338194658080823,47.0,66.0,0.8886797023594688,0.9805058228789568,-0.012877936455854826,0.004083211263716179
cubic,0.0,score_q,fft_phase_6,0.44999999999999996,3.659767666404065,5.387498750052016,9.04726641645608,31.0,36.0,0.6699120975162003,0.9838621529119037,0.010595754383076576,0.008528963232672018
cubic,0.0,score_q,fft_phase_6,0.5499999999999999,3.2201449101727952,5.487616921165818,8.707761831338614,17.0,23.0,0.731082979163105,0.9964759691763626,0.000719682648745619,0.011695836645209564
cubic,0.0,score_q,fft_phase_7,0.05,3.613642295828278,5.503144891134127,9.116787186962405,130.0,174.0,0.9396136372422161,0.9908540646035348,-0.006438225831109225,-0.005246530383716978
cubic,0.0,score_q,fft_phase_7,0.15,3.4858707622895055,5.721089085800531,9.206959848090037,92.0,136.0,0.9468587637538403,0.9863445357096394,-0.007986905756136843,0.0025596414542578792
cubic,0.0,score_q,fft_phase_7,0.25,3.640250518974561,5.720427798427725,9.360678317402286,73.0,81.0,0.9219661107517954,0.9771743706605373,-0.0003197600340574605,-0.0011731506972602578
cubic,0.0,score_q,fft_phase_7,0.35,3.6784586595643027,6.221929421116894,9.900388080681196,46.0,34.0,0.7824251290933432,0.9690818645625378,-0.008748811590381995,-0.006511969846192751
cubic,0.0,score_iso,real,0.05,1.5439582731785277,5.890353084900229,7.434311358078757,192.0,144.0,0.9362443754531979,0.9534174521018614,0.015367436481127372,-0.0028548412058105876
cubic,0.0,score_iso,real,0.25,1.1440036658708426,8.276718174837544,9.420721840708387,56.0,48.0,0.99304561695049,0.9948610927448298,-0.021366183720769587,0.002863206433857339
cubic,0.0,score_iso,fft_phase_0,0.05,3.4344707737300695,5.467856173531668,8.902326947261738,93.0,142.0,0.8960572746519858,0.9956957456110264,0.0096197085394042,0.007938958406990923
