geometry,beta,criterion,kind,valid,target,bw,n_band,inner_count,outer_count,inner_r,outer_r,gap,same_sector,same_shell,deficit_fill,completion_gain,carrier_vs_space_sector,bw_selected
tet_1.10,1.5,score_q,fft_phase_11,True,0.75,0.01,18.0,9.0,9.0,5.760513531581174,8.53962556258668,2.779112031005506,0.3511088967951153,0.992170492676426,0.019176886403399054,0.0016974437999237692,-0.3861999406001633,0.01
tet_1.10,1.5,score_iso,real,True,0.75,0.02,128.0,32.0,96.0,6.866989133465962,10.243668312439176,3.3766791789732142,0.9844895314382409,0.9978474934237131,-0.04034264254429499,0.00356958213969202,0.012706444566220165,0.02
tet_1.10,1.5,score_iso,fft_phase_0,True,0.75,0.02,24.0,8.0,16.0,4.575584351073527,9.541562539147879,4.965978188074352,0.6353033931656592,0.988182746804363,-0.03361491700225431,0.0004617063318089692,-0.18061805525107233,0.02
tet_1.10,1.5,score_iso,fft_phase_1,False,,,,,,,,,,,,,,
tet_1.10,1.5,score_iso,fft_phase_2,True,0.75,0.01,19.0,9.0,10.0,8.133986493529548,10.310826003991702,2.1768395104621536,0.4044615680308034,0.9133576609298466,-0.019824733243340067,-8.27020063779515e-06,-0.1477328577700298,0.01
tet_1.10,1.5,score_iso,fft_phase_3,True,0.75,0.03,41.0,14.0,27.0,5.640757711123141,9.184167366441695,3.5434096553185546,0.37880210851338963,0.948855680830848,-0.03347431892519385,5.400041649480214e-05,-0.32388447975391516,0.03
tet_1.10,1.5,score_iso,fft_phase_4,True,0.75,0.02,31.0,13.0,18.0,5.653883620054672,8.515774031184783,2.861890411130111,0.2547736398336993,0.9981489282026624,0.04179010118466271,0.002170808854947758,-0.5042891224795362,0.02
tet_1.10,1.5,score_iso,fft_phase_5,True,0.75,0.02,16.0,8.0,8.0,6.5298035254542555,8.574086528449676,2.044283002995421,0.7830877705317614,0.9891557992866599,-0.03964953707890048,0.0024445217086099206,0.027348608227330207,0.02
tet_1.10,1.5,score_iso,fft_phase_6,True,0.75,0.01,18.0,9.0,9.0,6.396764962013637,9.529712301753202,3.132947339739565,0.7022799345056828,0.9920717539959186,-0.016239208320576858,0.002168800357346513,-0.06606127426727404,0.01
tet_1.10,1.5,score_iso,fft_phase_7,True,0.75,0.03,29.0,15.0,14.0,6.322955336274702,9.224203729103127,2.9012483928284256,0.7663509796252633,0.9844749797030853,-0.06473928837151874,0.00025922356556606343,0.11831345838795315,0.03
tet_1.10,1.5,score_iso,fft_phase_8,True,0.75,0.03,24.0,14.0,10.0,6.3110710895380375,10.297283506649102,3.986212417111064,0.5149034000856207,0.963468447353434,-0.038272170569660924,0.0002762665142342746,-0.10498234954751517,0.03
tet_1.10,1.5,score_iso,fft_phase_9,True,0.75,0.01,23.0,9.0,14.0,4.982305687917149,8.82323644231237,3.8409307543952202,0.3203548986756327,0.8404989304951827,-0.0011954989956583818,0.0041190782338202305,-0.5010691583383431,0.01
tet_1.10,1.5,score_iso,fft_phase_10,True,0.75,0.03,23.0,10.0,13.0,5.062036795253057,8.917636523614862,3.8555997283618044,0.45169151975896243,0.8908889639999016,-0.030627039849742733,0.0005244071504385729,-0.2905314384574748,0.03
tet_1.10,1.5,score_iso,fft_phase_11,True,0.75,0.03,32.0,16.0,16.0,5.161477944844888,8.659673369097412,3.4981954242525237,0.5377144797437623,0.9881532055068903,0.003279103573105544,-0.0015678916465673358,-0.14902755793711697,0.03
tet_1.10,1.5,q_only,real,True,0.75,0.005,28.0,16.0,12.0,6.249527636909978,8.164552335953346,1.915024699043368,0.9016707300709611,0.9853035655673653,-0.0882106549770715,-0.0008069238277793388,0.07857815917056821,0.005
tet_1.10,1.5,q_only,fft_phase_0,True,0.75,0.01,20.0,10.0,10.0,9.34035911248952,11.041748017628231,1.701388905138712,0.48014807848702,0.9825660427364171,-0.04948040203732612,0.000252179357435813,-0.1376477920739615,0.01
tet_1.10,1.5,q_only,fft_phase_1,True,0.75,0.01,22.0,8.0,14.0,5.8301110230920585,8.549422087476858,2.719311064384799,0.5267416873594761,0.9274931549678955,0.007009622257344257,0.00016261242592783081,-0.14502987401723433,0.01
tet_1.10,1.5,q_only,fft_phase_2,True,0.75,0.01,48.0,21.0,27.0,4.635107122410119,8.969040000485853,4.333932878075734,0.5362467062345772,0.980109648263873,-0.007479582970105897,0.0016640455940829788,-0.22747900104007768,0.01
tet_1.10,1.5,q_only,fft_phase_3,True,0.75,0.01,31.0,18.0,13.0,8.047325551128168,10.3914713887987,2.3441458376705313,0.5848771362119285,0.9599403981145413,-0.03562504081521188,0.002167026953965808,0.02429864717646313,0.01
tet_1.10,1.5,q_only,fft_phase_4,True,0.75,0.01,30.0,12.0,18.0,5.637238506591783,8.866821170655651,3.2295826640638685,0.48408917503966586,0.968166272057889,0.016121630371241265,0.0009511860875717671,-0.23885792311147036,0.01
tet_1.10,1.5,q_only,fft_phase_5,True,0.75,0.01,24.0,12.0,12.0,8.494103016128697,9.857449488031632,1.3633464719029345,0.666978983148485,0.9893982217519176,-0.007922128436767067,0.0033161119630713844,-0.1815863686541529,0.01
tet_1.10,1.5,q_only,fft_phase_6,True,0.75,0.01,42.0,10.0,32.0,3.201346165742102,8.560719499172418,5.359373333430316,0.2923859921501816,0.955254246631511,-0.011077612045007616,0.000905757185274429,-0.3283843980638518,0.01
tet_1.10,1.5,q_only,fft_phase_7,True,0.75,0.01,26.0,8.0,18.0,3.881544624872477,10.259471872653561,6.377927247781084,0.3276535015175182,0.9220563769326909,0.016728591892051482,0.00038450395028065485,-0.4165801699802158,0.01
tet_1.10,1.5,q_only,fft_phase_8,True,0.75,0.02,46.0,14.0,32.0,7.752392712088378,11.20305317409526,3.4506604620068817,0.4401057323483437,0.8536910994596306,-0.007811441250133298,0.0061004138078435775,-0.38694268773474316,0.02
tet_1.10,1.5,q_only,fft_phase_9,True,0.75,0.01,18.0,9.0,9.0,5.0059187278757316,6.287407150215732,1.2814884223400007,0.6690266468999279,0.9971051370001587,-0.08984562186274403,4.2666606324884606e-07,0.0668341507635184,0.01
