beta,target,same_sector,carrier_vs_space_sector,same_sector_z,carrier_space_z,transition_combo_z,transition_combo_exc,bw_selected,inner_r,outer_r,gap
1.5,0.65,0.6919463682273856,-0.1323734121775468,56553355151.60074,27017844963.24313,41785600057.421936,0.7013888888888888,0.005055555555555555,6.140760710702195,8.755131079371191,2.614370368668996
1.5,0.66,0.7246410689627647,-0.14369608377239812,84093122135.26094,52814166604.02983,68453644369.64538,0.7424242424242424,0.003909090909090909,6.994824175823922,8.943310744608937,1.948486568785016
1.5,0.67,0.7077005419517204,-0.11215446936076977,25049659844.827435,10457542357.257437,17753601101.042435,0.6617647058823529,0.003916666666666667,6.499982761989649,8.76681796843856,2.26683520644891
1.5,0.68,0.7598036072134523,-0.06087098310592986,33908107054.061287,8872212646.9977,21390159850.52949,0.796875,0.004242424242424243,6.080124928307493,8.981022027077268,2.900897098769774
1.5,0.69,0.7168328931044105,-0.13291742296809345,68322589448.01053,33377303646.194763,50849946547.102646,0.6833333333333333,0.003575757575757576,6.519827881496186,9.190607176031621,2.6707792945354356
1.5,0.7,0.7425529082564891,-0.10171294335552923,81067599237.51794,52248950017.38049,66658274627.44922,0.6607142857142857,0.004212121212121212,6.106580812984261,9.37351531846308,3.266934505478818
1.5,0.71,0.6528333585171704,-0.13774415631625198,87528218211.4101,55312701996.984955,71420460104.19753,0.6136363636363636,0.004944444444444444,5.820955238861649,8.430833702123786,2.6098784632621372
1.5,0.72,0.673205317385266,-0.11841920522534394,78436460825.49348,33790816956.5436,56113638891.01855,0.6916666666666667,0.006055555555555555,5.768460515177985,8.566969943182801,2.7985094280048153
1.5,0.73,0.766857201268048,-0.09000543421877841,119896860953.9525,64950943982.917,92423902468.43475,0.7222222222222222,0.0052,6.281731559395234,9.009471562570747,2.7277400031755135
1.5,0.74,0.7624733640956317,-0.06015587947828359,172949644893.3406,112708622573.6403,142829133733.49045,0.7857142857142857,0.005636363636363636,6.7002863781714215,9.125803712938378,2.425517334766956
1.5,0.75,0.8163374000370328,-0.005696857004227443,189040155465.15427,123645806516.8014,156342980990.9778,0.78125,0.005290322580645161,7.093213596217899,9.125235136148266,2.032021539930367
1.5,0.76,0.7616010835303636,-0.07008071786814868,214798583288.76013,133169482847.75978,173984033068.25995,0.71,0.0055625,6.530274315483226,9.226489329392422,2.696215013909196
1.5,0.77,0.6973619063418948,-0.1377709927790577,149378268387.953,72592586981.70917,110985427684.83109,0.5961538461538461,0.0045151515151515146,6.238521199154528,8.797791844881123,2.5592706457265963
1.5,0.78,0.7612594304213068,-0.06484619212069975,130698658659.78725,51159429572.036,90929044115.91162,0.625,0.005181818181818182,6.442321273333776,8.833057982923531,2.3907367095897554
1.5,0.79,0.764820083683015,-0.04934710746710803,152407288301.68677,91479932335.9923,121943610318.83952,0.6354166666666666,0.005371428571428571,6.21421496612677,8.394671036478089,2.180456070351319
1.5,0.8,0.9175707159301607,0.05326076233072473,240827780267.91705,135028171769.27744,187927976018.59723,0.8875,0.006500000000000001,6.85739802527768,8.50363479075334,1.6462367654756598
1.5,0.81,0.8062928302166968,-0.030374362353353165,135410076746.03632,47524340840.57414,91467208793.30522,0.7333333333333333,0.004433333333333333,7.072808880066537,8.750704971534676,1.6778960914681382
1.5,0.82,0.6546883156669793,-0.14741397153955468,14692930224.476124,-52518879631.68222,-18912974703.60305,0.421875,0.006321428571428571,6.346975088229327,8.625627908374508,2.278652820145181
1.5,0.83,0.657160016052351,-0.13392857264606348,71997142633.18942,9052190142.046492,40524666387.617966,0.4583333333333333,0.006454545454545454,6.6532584794604155,8.629511862895118,1.9762533834347031
1.5,0.84,0.7738139663818058,-0.03806844712157892,-17427477789.14581,-58104651343.64938,-37766064566.39759,0.6923076923076923,0.0057741935483870965,6.6604502346879775,8.79918682453801,2.138736589850031
1.5,0.85,0.7532441106500557,-0.07713554267464964,-37197823690.38537,-132879382657.28291,-85038603173.83414,0.2727272727272727,0.006129032258064516,6.1449161230860065,8.393094624037877,2.2481785009518704
1.5,0.86,0.8714209029693577,0.07513022266965438,104520484276.47379,98617580823.95703,101569032550.2154,0.6818181818181818,0.005454545454545454,6.159472663092981,7.802003155669881,1.6425304925769009
2.0,0.6,0.6878390411960696,-0.09202771786777283,-2.1738882833979636,0.7190166190029041,-0.7274358321975295,0.7083333333333334,0.004694444444444445,6.395553240973076,8.653122761193377,2.2575695202203003
