geometry,beta,criterion,winner_mode_index,winner_q,winner_exact_family,winner_support_family,real_exact,sur_exact_mean,sur_exact_std,z_exact,exact_exceed,sur_exact_p95,triads_exact,eligible_exact,real_support,sur_support_mean,sur_support_std,z_support,support_exceed,sur_support_p95,triads_support,eligible_support
tet_1.05,0.0,score_iso,8,X1,"1-axis:(1,)",1-axis,0.9989051587117911,0.5361824186142995,0.2203858178444622,2.0996030716548177,1.0,0.921412711734046,3,3,0.739234951150504,0.3046668999960998,0.22567876557707103,1.9256045203954744,0.9375,0.7302402236637319,6,6
tet_1.05,0.0,q_only,8,X1,"1-axis:(1,)",1-axis,0.9989051587117911,0.557059262446042,0.25855524776866967,1.7089032231106034,1.0,0.9797582010462255,3,3,0.739234951150504,0.36885781382825805,0.2635910219037808,1.4051204576157392,0.8958333333333334,0.8750760783256454,6,6
tet_1.05,0.0,xyz_only,8,X1,"1-axis:(1,)",1-axis,0.9989051587117911,0.4972883820933613,0.22797023961123833,2.2003607903893307,1.0,0.8295902026435612,3,3,0.739234951150504,0.32181903260331046,0.21499847887152546,1.9414831246070499,0.9375,0.7126658937502345,6,6
tet_1.05,1.0,score_q,9,Z1,"1-axis:(1,)",1-axis,0.9997069921123984,0.49416024540838416,0.2064214679165907,2.4490996590812095,1.0,0.834836361381198,3,3,0.7209605089699912,0.29842578717860074,0.22207305128229285,1.9026834609138317,0.9375,0.7658859423803764,6,6
tet_1.05,1.0,score_iso,9,Z1,"1-axis:(1,)",1-axis,0.9997069921123984,0.4983858058811211,0.21306423136272432,2.3529110588978517,1.0,0.8789210496871213,3,3,0.7209605089699912,0.32018835717709077,0.22311529918427758,1.7962558070035999,0.9166666666666666,0.8026100051086879,6,6
tet_1.05,1.0,q_only,10,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.5563418963301954,0.6159742271369657,0.21364898659928835,-0.2791135673315187,0.3333333333333333,0.8707521734399662,2,3,0.5103464061640108,0.37683096075694206,0.2507878454578152,0.5323840362470633,0.6458333333333334,0.7741891314714104,4,8
tet_1.05,1.0,xyz_only,9,Z1,"1-axis:(1,)",1-axis,0.9997069921123984,0.5278336585409549,0.22287512649180338,2.1172094930327736,1.0,0.8556550399976107,3,3,0.7209605089699912,0.36175514602810344,0.24783856668615173,1.4493521639645175,0.8541666666666666,0.7435508542363676,6,6
tet_1.05,1.5,score_q,9,X1+Y1+Z2,"3-axis:(1, 1, 2)",3-axis,0.9825224503232824,0.47109100122734143,0.22246877750832253,2.2988909042506407,1.0,0.8378330061560094,3,3,0.48213008744054375,0.20194405816172453,0.1831701689021403,1.5296488012028886,0.9375,0.5954990528211105,8,8
tet_1.05,1.5,score_iso,10,Z1,"1-axis:(1,)",1-axis,0.9996971735167448,0.4970569151127502,0.22864249722008548,2.1983676023183367,1.0,0.8515489924763429,3,3,0.7141699050004813,0.3228141741896144,0.20828539036557536,1.878939901267649,0.9583333333333334,0.6182717511369511,6,6
tet_1.05,1.5,q_only,9,X1+Y1+Z2,"3-axis:(1, 1, 2)",3-axis,0.9825224503232824,0.5206574054179783,0.2412062111929917,1.9148140614581688,0.9583333333333334,0.968879612912618,3,3,0.48213008744054375,0.2708962910935073,0.18662214434124452,1.1318795906645291,0.8541666666666666,0.6008713901576347,8,8
tet_1.05,1.5,xyz_only,10,Z1,"1-axis:(1,)",1-axis,0.9996971735167448,0.4751161955740007,0.1869858505008476,2.805458148490015,1.0,0.7684557874668897,3,3,0.7141699050004813,0.2744719939567068,0.20174492316755085,2.179474477662182,0.9583333333333334,0.5781030891486526,6,6
tet_1.05,2.0,score_q,9,X1+Y1+Z2,"3-axis:(1, 1, 2)",3-axis,0.9752632425702216,0.5474486650230728,0.24047928695996657,1.779008009187043,0.9375,0.9804600160177245,3,3,0.4437010429799006,0.28086616380417034,0.21920826423117415,0.7428318441647067,0.75,0.7107958919814654,8,8
tet_1.05,2.0,score_iso,9,X1+Y1+Z2,"3-axis:(1, 1, 2)",3-axis,0.9752632425702216,0.4977795746873193,0.2364295915992945,2.019559669544798,0.9791666666666666,0.9281658111350579,3,3,0.4437010429799006,0.26360887426692603,0.21643821077884431,0.8320719713219212,0.7916666666666666,0.6297012889336185,8,8
tet_1.05,2.0,q_only,4,X1+Y1+Z1,"3-axis:(1, 1, 1)",3-axis,0.9952516871294447,0.9952516871294447,0.0,0.0,0.0,0.9952516871294447,1,1,0.8302847894476936,0.4590070480819119,0.32143902326659307,1.155048747944641,0.8541666666666666,0.9374081731936871,8,8
tet_1.05,2.0,xyz_only,5,X1+Y1+Z1,"3-axis:(1, 1, 1)",3-axis,0.9989805678918722,0.9989805678918721,1.1102230246251565e-16,0.0001110099778791752,0.0,0.9989805678918722,1,1,0.6698745117302575,0.36644578021768287,0.23936362374645292,1.2676476348499608,0.8541666666666666,0.8052488920368635,8,8
tet_1.05,5.0,score_q,5,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.007501194522512903,0.6999483840723895,0.2971093338049532,-2.3306140560435065,0.020833333333333332,0.9967202338130476,3,3,0.005206361044344815,0.43642568559019806,0.30233746259924016,-1.4262847906348433,0.0,0.8990110710467084,8,8
tet_1.05,5.0,score_iso,9,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.999994697415476,0.5298937522142093,0.22337001435843518,2.1045839413557323,1.0,0.9342099191704938,3,3,0.330087791413386,0.2810368481612584,0.21361337003666897,0.22962487433945672,0.6458333333333334,0.7157755643939979,8,8
