geometry,beta,criterion,winner_mode_index,winner_q,winner_family,winner_q_contrast,winner_xyz,real_triad_all,sur_triad_all_mean,sur_triad_all_std,triad_all_z,triad_all_exceed,sur_triad_all_p95,real_triad_topk,sur_triad_topk_mean,sur_triad_topk_std,triad_topk_z,triad_topk_exceed,sur_triad_topk_p95
cubic,1.5,q_only,8,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.20170483370584136,1.7290405257470935e-05,0.3131281696317801,0.28026191670361167,0.13791332590815236,0.23831092979237117,0.5625,0.49580802678959696,0.2931828968165813,0.394147180319021,0.21612566313625783,-0.4671554596379376,0.328125,0.7029079481477603
cubic,1.5,xyz_only,10,X1,"1-axis:(1,)",0.04895680482788125,7.075993741760492e-05,0.016795784404729373,0.07920788063646877,0.035565299158725645,-1.7548593068609764,0.015625,0.14455253853267802,0.6573541370430716,0.24985866388981048,0.21350875072916353,1.9085656759252068,0.9375,0.684676380602019
cubic,2.0,score_q,6,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.14294686300076143,7.169060678315721e-05,0.09211994373034964,0.12517386209644749,0.06708267147724967,-0.49273407927433205,0.34375,0.24122304359805563,0.09798889516073044,0.2744113635212139,0.20064579370806693,-0.8792731963087804,0.265625,0.6440646965234731
cubic,2.0,score_iso,10,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.12810757453806393,5.908487933696066e-05,0.39639739520979067,0.2840578145095826,0.17692874614186982,0.6349425017091,0.71875,0.6062034645060836,0.44563050085406625,0.3399649203738979,0.21683439074318767,0.4873100623822549,0.6875,0.7244284885181482
cubic,2.0,q_only,2,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.2488480293027638,3.837453715387383e-05,0.1535632412451238,0.272668113231761,0.12487595501066724,-0.9537854743574065,0.203125,0.43887543237411436,0.4812163976555039,0.580116252719087,0.2554846990577799,-0.38710676384118403,0.328125,0.8666672666384149
cubic,2.0,xyz_only,6,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.14294686300076143,7.169060678315721e-05,0.09211994373034964,0.12318253524423572,0.06080278779618538,-0.5108744621628024,0.359375,0.23838076787910736,0.09798889516073044,0.2897431703804146,0.18496053843068327,-1.0367307364349514,0.125,0.6671913916565305
cubic,5.0,score_q,5,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.31122437714016327,0.00018294704434149435,0.4533341073858879,0.3664081622592773,0.1742180068483106,0.49894925730494083,0.625,0.5959507272224815,0.5214045832164755,0.5051909799626777,0.21392820141355923,0.07578992926873826,0.46875,0.824610589824734
cubic,5.0,score_iso,9,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.10509127349505216,0.00024789725002803865,0.14654286130278268,0.15995711381674027,0.10048555858811214,-0.1334943319448398,0.546875,0.3110173258017901,0.330484706512284,0.31154666528921443,0.211212776312468,0.0896633317056682,0.53125,0.7618775155066484
cubic,5.0,q_only,5,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.31122437714016327,0.00018294704434149435,0.4533341073858879,0.3967906606057485,0.1817069638717565,0.3111793052672155,0.515625,0.6371404892273235,0.5214045832164755,0.5135171420658603,0.2555903504485,0.030859698485266773,0.421875,0.8884725112115834
cubic,5.0,xyz_only,9,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.10509127349505216,0.00024789725002803865,0.14654286130278268,0.143569952956015,0.07816009829722585,0.038036138790720736,0.5625,0.2854484768698877,0.330484706512284,0.2894817148837613,0.2077670643233461,0.19735077723634178,0.578125,0.6558737331361425
cubic,10.0,score_q,7,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.28257358334533605,0.00029350977585523863,0.497657821955411,0.3815565818287927,0.20777766502021486,0.5587763252357462,0.625,0.7337942827337651,0.5967746045842116,0.45328763593503346,0.24597402018846784,0.5833419665160312,0.671875,0.8787492622606247
cubic,10.0,score_iso,6,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.2029394975977126,0.0002694505932443792,0.0869406859636234,0.25137351995384694,0.1692963262888442,-0.9712723104735651,0.171875,0.6416928298363899,0.03951416867900417,0.3315293122498076,0.2194268669789076,-1.3308085176166808,0.046875,0.7956681005046149
cubic,10.0,q_only,4,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.3234921692595452,0.0001668813574747427,0.8241520574514922,0.4640550760829585,0.20211107900418035,1.7816785855628627,1.0,0.7406683500620921,0.9340989969456934,0.5399136067955972,0.23038560538359576,1.710980985517998,1.0,0.8701985306630065
cubic,10.0,xyz_only,7,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.28257358334533605,0.00029350977585523863,0.497657821955411,0.38453123356731955,0.2280529751173587,0.49605399065449207,0.65625,0.7178326260101099,0.5967746045842116,0.4601887678474187,0.27649519476231904,0.49398991130283815,0.640625,0.8923866415305771
tet_1.05,0.0,score_q,8,Y1,"1-axis:(1,)",0.15139921439941914,0.0001127122007366943,0.45271029907149335,0.23094357614114636,0.12877156387764258,1.7221715435509137,0.96875,0.4383785046570693,0.7530638144635036,0.3228965920205196,0.21409144230234547,2.009268646214646,0.96875,0.6963319916086625
