geometry,beta,criterion,winner_family,support_degree,mean_boundary,center_frac,opp_edge,neck_floor_z,pred_support_degree,correct,distance
ortho_1.10_1.30,5.0,q_only,"3-axis:(1, 1, 2)",3,0.1481734558481923,0.0146203871223123,0.6041666666666666,-0.48909299723430555,3,True,1.0393931082957282
ortho_1.10_1.30,5.0,xyz_only,"3-axis:(1, 1, 2)",3,0.3513482615026932,0.185699536903761,0.2708333333333333,-0.6304223514284223,3,True,1.7971966677529883
ortho_1.10_1.30,10.0,score_q,"3-axis:(1, 1, 2)",3,0.1347902326999982,0.0501591079008191,0.375,-0.9413274650680638,3,True,1.436356870111305
ortho_1.10_1.30,10.0,score_iso,"3-axis:(1, 1, 1)",3,0.1065145624444277,0.0510432003956219,0.4583333333333333,-0.13458934355142171,3,True,0.7983582038648284
ortho_1.10_1.30,10.0,q_only,"3-axis:(1, 1, 1)",3,0.0437699814845914,0.0144387003834434,0.8958333333333334,-0.5365681460471766,3,True,1.3495425919189175
ortho_1.10_1.30,10.0,xyz_only,"3-axis:(1, 1, 2)",3,0.1347902326999982,0.0501591079008191,0.5208333333333334,-0.9413274650680638,3,True,1.3077509312162934
ortho_1.20_1.50,0.0,score_q,"1-axis:(1,)",1,3.065338590133157,0.1399097547808784,1.0,0.02625443174674442,1,True,1.186212028738152
ortho_1.20_1.50,0.0,score_iso,"1-axis:(1,)",1,3.0712662721284576,0.1399097547808784,0.9375,0.02625443174674442,1,True,1.0367763689792753
ortho_1.20_1.50,0.0,q_only,"1-axis:(1,)",1,3.065338590133157,0.1399097547808784,0.9791666666666666,0.02625443174674442,1,True,1.1354769710798953
ortho_1.20_1.50,0.0,xyz_only,"1-axis:(1,)",1,3.065338590133157,0.1399097547808784,1.0,0.02625443174674442,1,True,1.186212028738152
ortho_1.20_1.50,1.0,score_q,"1-axis:(1,)",1,1.9688936507664363,0.0334573816294984,0.0833333333333333,-0.3345060884904495,3,False,1.8530652941618535
ortho_1.20_1.50,1.0,score_iso,"1-axis:(1,)",1,1.9688936507664363,0.0673914400161595,0.0,0.8723313005956649,1,True,2.1536021291086125
ortho_1.20_1.50,1.0,q_only,"2-axis:(1, 1)",2,1.7419647909924283,0.0150000577789196,0.0625,0.5388462995295754,3,False,1.8875637886437941
ortho_1.20_1.50,1.0,xyz_only,"2-axis:(1, 1)",2,1.6036798950585518,0.0334573816294984,0.0208333333333333,-0.3345060884904495,3,False,1.83944900964537
ortho_1.20_1.50,1.5,score_q,"3-axis:(1, 1, 1)",3,1.416460170210019,0.0356180220294456,0.875,-0.556391288293408,3,True,1.181181289434846
ortho_1.20_1.50,1.5,score_iso,"2-axis:(1, 1)",2,1.537264330846554,0.0661231057111011,0.8958333333333334,0.6674422022279592,3,False,1.2115469621477324
