case,label,y,I_norm
coherent_baseline,kohärent,-0.3920714285714286,0.01331531637185898
coherent_baseline,kohärent,-0.39128571428571435,0.01376907343696428
coherent_baseline,kohärent,-0.39050000000000007,0.014236811135928852
coherent_baseline,kohärent,-0.3897142857142858,0.014716827941676707
coherent_baseline,kohärent,-0.38892857142857146,0.015207369958720554
coherent_baseline,kohärent,-0.3881428571428572,0.015706637703348916
coherent_baseline,kohärent,-0.3873571428571429,0.016212793084848524
coherent_baseline,kohärent,-0.3865714285714286,0.01672396656235864
coherent_baseline,kohärent,-0.3857857142857143,0.017238264451182768
coherent_baseline,kohärent,-0.385,0.017753776351694443
coherent_baseline,kohärent,-0.38421428571428573,0.018268582673390703
coherent_baseline,kohärent,-0.38342857142857145,0.01878076222615086
coherent_baseline,kohärent,-0.3826428571428572,0.019288399850365495
coherent_baseline,kohärent,-0.3818571428571429,0.01978959405731403
coherent_baseline,kohärent,-0.3810714285714286,0.020282464650972762
coherent_baseline,kohärent,-0.38028571428571434,0.020765160302360162
coherent_baseline,kohärent,-0.37950000000000006,0.021235866047541373
coherent_baseline,kohärent,-0.3787142857142858,0.021692810680543448
coherent_baseline,kohärent,-0.3779285714285715,0.0221342740126675
coherent_baseline,kohärent,-0.37714285714285717,0.022558593970020024
coherent_baseline,kohärent,-0.3763571428571429,0.022964173501534024
coherent_baseline,kohärent,-0.3755714285714286,0.02334948727029803
coherent_baseline,kohärent,-0.37478571428571433,0.02371308810166227
coherent_baseline,kohärent,-0.374,0.024053613162348903
coherent_baseline,kohärent,-0.3732142857142857,0.024369789845642458
coherent_baseline,kohärent,-0.37242857142857144,0.02466044133868953
coherent_baseline,kohärent,-0.37164285714285716,0.024924491848981548
coherent_baseline,kohärent,-0.3708571428571429,0.025160971468228523
coherent_baseline,kohärent,-0.3700714285714286,0.02536902065305647
coherent_baseline,kohärent,-0.36928571428571433,0.025547894303266937
coherent_baseline,kohärent,-0.36850000000000005,0.02569696541978746
coherent_baseline,kohärent,-0.36771428571428577,0.02581572832589754
coherent_baseline,kohärent,-0.3669285714285715,0.0259038014368539
coherent_baseline,kohärent,-0.3661428571428572,0.025960929564631904
coherent_baseline,kohärent,-0.3653571428571429,0.02598698574615932
coherent_baseline,kohärent,-0.3645714285714286,0.025981972585131956
coherent_baseline,kohärent,-0.3637857142857143,0.025946023099259582
coherent_baseline,kohärent,-0.36300000000000004,0.025879401066597682
coherent_baseline,kohärent,-0.3622142857142857,0.02578250086645388
coherent_baseline,kohärent,-0.36142857142857143,0.025655846812238675
coherent_baseline,kohärent,-0.36064285714285715,0.025500091975511882
coherent_baseline,kohärent,-0.3598571428571429,0.025316016502396146
coherent_baseline,kohärent,-0.3590714285714286,0.025104525425442774
coherent_baseline,kohärent,-0.3582857142857143,0.02486664597596357
coherent_baseline,kohärent,-0.35750000000000004,0.024603524403758115
coherent_baseline,kohärent,-0.35671428571428576,0.024316422313076666
coherent_baseline,kohärent,-0.3559285714285715,0.024006712525551265
coherent_baseline,kohärent,-0.3551428571428572,0.023675874482689645
coherent_baseline,kohärent,-0.3543571428571429,0.023325489202366524
coherent_baseline,kohärent,-0.35357142857142865,0.022957233805537255
coherent_baseline,kohärent,-0.3527857142857143,0.02257287563115363
coherent_baseline,kohärent,-0.35200000000000004,0.022174265958956246
coherent_baseline,kohärent,-0.35121428571428576,0.021763333361458984
coherent_baseline,kohärent,-0.3504285714285715,0.02134207670801481
coherent_baseline,kohärent,-0.34964285714285714,0.020912557845354115
coherent_baseline,kohärent,-0.34885714285714287,0.020476893980412768
coherent_baseline,kohärent,-0.3480714285714286,0.02003724979260702
coherent_baseline,kohärent,-0.3472857142857143,0.019595829303967666
coherent_baseline,kohärent,-0.34650000000000003,0.019154867536702536
coherent_baseline,kohärent,-0.34571428571428575,0.018716621988816295
coherent_baseline,kohärent,-0.3449285714285715,0.018283363959371232
coherent_baseline,kohärent,-0.3441428571428572,0.017857369755822427
coherent_baseline,kohärent,-0.3433571428571429,0.017440911816592245
coherent_baseline,kohärent,-0.34257142857142864,0.0170362497826705
coherent_baseline,kohärent,-0.34178571428571436,0.01664562155252419
coherent_baseline,kohärent,-0.341,0.016271234354981918
