geometry,beta,consensus_family,consensus_count,consensus_q,consensus_q_count,mean_boundary,mean_q,mean_xyz
tet_1.20,3.0,"3-axis:(1, 1, 2)",3,X1+Y1+Z2,2,0.9587464822987662,0.16182611183527099,0.0001622202982538956
tet_1.20,4.0,"3-axis:(1, 1, 2)",3,X1+Y2+Z1,3,0.7604772219052807,0.14868340134465724,0.00020982580835594714
tet_1.20,5.0,"3-axis:(1, 1, 2)",4,X1+Y1+Z2,2,0.39974091470018347,0.146729294243189,0.0002224846384028936
tet_1.20,7.0,"3-axis:(1, 2, 2)",3,X1+Y2+Z2,3,0.19895838599494228,0.17170240667575565,0.0003072417007005771
tet_1.20,10.0,"3-axis:(1, 1, 2)",4,X1+Y2+Z1,4,0.12325102814620978,0.14157994243397715,0.000420924027012844
tet_1.35,0.0,"1-axis:(1,)",4,Z1,4,3.3666665689475384,0.41495568418199447,0.0002112399709664249
tet_1.35,0.25,"1-axis:(1,)",4,Z1,3,3.080478533454075,0.3215131875476798,0.00019115945808146202
tet_1.35,0.5,"1-axis:(1,)",4,Z1,4,2.793242951268352,0.27326061908315286,0.0001654275434152604
tet_1.35,0.75,"1-axis:(1,)",4,Z1,4,2.5146912078283217,0.20547889161260488,0.00014448824705155382
tet_1.35,1.0,"1-axis:(1,)",3,Z1,3,2.161948509163914,0.1416214522430308,0.00012624084458497066
tet_1.35,1.5,"2-axis:(1, 2)",2,Y1+Z2,2,1.645143698138562,0.09552320501988021,0.00014768368064444994
tet_1.35,2.0,"3-axis:(1, 2, 2)",2,X1+Y2+Z2,2,1.2288743046433717,0.12315439556332719,0.00017462008762291167
tet_1.35,3.0,"3-axis:(1, 1, 2)",2,X1+Y2+Z1,2,0.8626157487044511,0.1473879695855264,0.00021637473257529087
tet_1.35,4.0,"3-axis:(1, 1, 1)",3,X1+Y1+Z1,3,0.5199917835938982,0.1643163328341658,0.0002882948806896549
tet_1.35,5.0,"3-axis:(1, 1, 1)",2,X1+Y1+Z1,2,0.40849104672189307,0.17795537679741175,0.0003610356220121526
tet_1.35,7.0,"3-axis:(1, 1, 2)",3,X1+Y1+Z2,3,0.23458124276085737,0.1725500738127178,0.0004204022841126245
tet_1.35,10.0,"3-axis:(1, 1, 2)",3,X1+Y1+Z2,2,0.11731709180939201,0.19824054301146088,0.0005284173409669378
tet_1.50,0.0,"1-axis:(1,)",4,Z1,4,3.2775980721106004,0.41495568418199175,0.00021123997096642367
tet_1.50,0.25,"1-axis:(1,)",4,Z1,4,2.9903945230794333,0.3465877335850306,0.00018754486426408873
tet_1.50,0.5,"1-axis:(1,)",4,Z1,4,2.6991122727544155,0.27324730555728205,0.00016445523492743586
