geometry,beta,criterion,branch_id,local_mode_index,eigenvalue,dominant_q,q_family,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,criterion_value,branch_overlap_prev
ortho_1.05_1.20,10.0,q_only,2,2,4.536361041142375,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.12131159576231368,0.00013242792911095225,0.32815028715263816,0.05086682426806391,0.12131159576231368,0.9984344043078568
ortho_1.05_1.20,10.0,xyz_only,8,10,9.977839059105372,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.12068911531305693,0.0004991376131404989,0.7098446705715653,0.11743330847520192,0.0004991376131404989,0.9968791217797186
ortho_1.10_1.30,0.0,score_q,15,15,4.006817494335112,Z1,"1-axis:(1,)",0.4149556841858316,0.0002112399709591723,0.8264462809914664,3.2883790649251226,8.765522667675854e-05,1.0
ortho_1.10_1.30,0.0,score_iso,15,15,4.006817494335112,Z1,"1-axis:(1,)",0.4149556841858316,0.0002112399709591723,0.8264462809914664,3.2883790649251226,0.0001745784883959533,1.0
ortho_1.10_1.30,0.0,q_only,19,19,4.674692671315218,Y1,"1-axis:(1,)",0.4149556850534238,0.0002112399688156515,0.5118821777689332,3.283404786031469,0.4149556850534238,1.0
ortho_1.10_1.30,0.0,xyz_only,15,15,4.006817494335112,Z1,"1-axis:(1,)",0.4149556841858316,0.0002112399709591723,0.8264462809914664,3.2883790649251226,0.0002112399709591723,1.0
ortho_1.10_1.30,0.25,score_q,15,16,4.793524360143314,Z1,"1-axis:(1,)",0.3429120565047446,0.00018717044055895237,0.7541094369761394,3.0041011187754285,6.418300068896942e-05,0.9951480709392391
ortho_1.10_1.30,0.25,score_iso,15,16,4.793524360143314,Z1,"1-axis:(1,)",0.3429120565047446,0.00018717044055895237,0.7541094369761394,3.0041011187754285,0.00014114699554848754,0.9951480709392391
ortho_1.10_1.30,0.25,q_only,15,16,4.793524360143314,Z1,"1-axis:(1,)",0.3429120565047446,0.00018717044055895237,0.7541094369761394,3.0041011187754285,0.3429120565047446,0.9951480709392391
ortho_1.10_1.30,0.25,xyz_only,15,16,4.793524360143314,Z1,"1-axis:(1,)",0.3429120565047446,0.00018717044055895237,0.7541094369761394,3.0041011187754285,0.00018717044055895237,0.9951480709392391
ortho_1.10_1.30,0.5,score_q,15,16,5.508828245952412,Z1,"1-axis:(1,)",0.26604057694779126,0.0001639917428781321,0.704116438018621,2.7192671198141167,4.36284578899721e-05,0.9961001107711398
ortho_1.10_1.30,0.5,score_iso,15,16,5.508828245952412,Z1,"1-axis:(1,)",0.26604057694779126,0.0001639917428781321,0.704116438018621,2.7192671198141167,0.00011546928185981594,0.9961001107711398
ortho_1.10_1.30,0.5,q_only,15,16,5.508828245952412,Z1,"1-axis:(1,)",0.26604057694779126,0.0001639917428781321,0.704116438018621,2.7192671198141167,0.26604057694779126,0.9961001107711398
ortho_1.10_1.30,0.5,xyz_only,15,16,5.508828245952412,Z1,"1-axis:(1,)",0.26604057694779126,0.0001639917428781321,0.704116438018621,2.7192671198141167,0.0001639917428781321,0.9961001107711398
ortho_1.10_1.30,0.75,score_q,15,17,6.1540493629878155,Z1,"1-axis:(1,)",0.19619565797624952,0.00014261275659883924,0.6693327624524156,2.445001148629166,2.7980003616715986e-05,0.9968467592420761
ortho_1.10_1.30,0.75,score_iso,15,17,6.1540493629878155,Z1,"1-axis:(1,)",0.19619565797624952,0.00014261275659883924,0.6693327624524156,2.445001148629166,9.545539033525503e-05,0.9968467592420761
ortho_1.10_1.30,0.75,q_only,15,17,6.1540493629878155,Z1,"1-axis:(1,)",0.19619565797624952,0.00014261275659883924,0.6693327624524156,2.445001148629166,0.19619565797624952,0.9968467592420761
ortho_1.10_1.30,0.75,xyz_only,15,17,6.1540493629878155,Z1,"1-axis:(1,)",0.19619565797624952,0.00014261275659883924,0.6693327624524156,2.445001148629166,0.00014261275659883924,0.9968467592420761
ortho_1.10_1.30,1.0,score_q,15,18,6.732841517035389,Z1,"1-axis:(1,)",0.13968885502790102,0.00012346318969263896,0.644572929807676,2.1887706508179305,1.7246431606257286e-05,0.9974279956283617
ortho_1.10_1.30,1.0,score_iso,19,20,7.410041317424607,Y1,"1-axis:(1,)",0.12188180967774591,0.00013076113800281853,0.61814692942331,2.219553863102356,8.082959594433996e-05,0.9974876503965631
ortho_1.10_1.30,1.0,q_only,15,18,6.732841517035389,Z1,"1-axis:(1,)",0.13968885502790102,0.00012346318969263896,0.644572929807676,2.1887706508179305,0.13968885502790102,0.9974279956283617
ortho_1.10_1.30,1.0,xyz_only,19,20,7.410041317424607,Y1,"1-axis:(1,)",0.12188180967774591,0.00013076113800281853,0.61814692942331,2.219553863102356,0.00013076113800281853,0.9974876503965631
ortho_1.10_1.30,1.5,score_q,20,16,7.320207522207036,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.10908158198481611,9.368544370505667e-05,0.31415330182691525,1.1688609092456361,1.0219356408297015e-05,0.9931130659204741
ortho_1.10_1.30,1.5,score_iso,19,20,8.409868003899554,Y1+Z1,"2-axis:(1, 1)",0.0691919762085852,0.0001462424481391577,0.6259038223247636,1.7941878662975062,9.153370727642981e-05,0.9925100058843739
ortho_1.10_1.30,1.5,q_only,14,13,6.296356668249384,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.12164716977956515,4.4988885913550646e-05,0.5923308197264344,1.2152395262650202,0.12164716977956515,0.9940120673175571
ortho_1.10_1.30,1.5,xyz_only,19,20,8.409868003899554,Y1+Z1,"2-axis:(1, 1)",0.0691919762085852,0.0001462424481391577,0.6259038223247636,1.7941878662975062,0.0001462424481391577,0.9925100058843739
ortho_1.10_1.30,2.0,score_q,20,15,7.856441189762202,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.11010297705795162,0.00012839832505799086,0.28913482048044514,0.9813761996039887,1.4137037838139382e-05,0.9954265798438088
ortho_1.10_1.30,2.0,score_iso,19,20,9.218241476226664,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.07314474176877189,0.00016140046444471573,0.6299208222613613,1.4525032183048716,0.00010166951327638093,0.9948958020246658
ortho_1.10_1.30,2.0,q_only,14,13,6.850799366291483,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.1213074119750904,5.712951302762897e-05,0.551471757137509,1.009823167590249,0.1213074119750904,0.9963533556696128
ortho_1.10_1.30,2.0,xyz_only,19,20,9.218241476226664,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.07314474176877189,0.00016140046444471573,0.6299208222613613,1.4525032183048716,0.00016140046444471573,0.9948958020246658
ortho_1.10_1.30,3.0,score_q,20,15,8.68404778825122,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.11248282745187198,0.00018233665996253255,0.2652959810879671,0.6911050863911274,2.05097430607162e-05,0.9893395713504526
ortho_1.10_1.30,3.0,score_iso,19,20,10.411191685036743,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.09494678181855348,0.00018759826520082238,0.6308777556884866,0.9723130449147553,0.00011835157252094834,0.9881801264664017
ortho_1.10_1.30,3.0,q_only,14,12,7.699417906562376,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.120172458026375,7.132783440676893e-05,0.5142548141540438,0.708311878382612,0.120172458026375,0.9920520426623229
ortho_1.10_1.30,3.0,xyz_only,19,20,10.411191685036743,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.09494678181855348,0.00018759826520082238,0.6308777556884866,0.9723130449147553,0.00018759826520082238,0.9881801264664017
ortho_1.10_1.30,4.0,score_q,20,15,9.269066243817825,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.11466471268985859,0.00021918369135972087,0.2564547897318189,0.4919818156637158,2.5132634996065034e-05,0.994456671884243
ortho_1.10_1.30,4.0,score_iso,19,20,11.223886450654573,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.10448638235541118,0.0002214352394381083,0.6277826069455942,0.6764105489196529,0.00013901319188407748,0.9940378636299759
ortho_1.10_1.30,4.0,q_only,14,12,8.301403743483444,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.11871928828262884,7.724672582186204e-05,0.5019304877653645,0.5093064770603892,0.11871928828262884,0.9960052600907449
ortho_1.10_1.30,4.0,xyz_only,19,20,11.223886450654573,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.10448638235541118,0.0002214352394381083,0.6277826069455942,0.6764105489196529,0.0002214352394381083,0.9940378636299759
