geometry,beta,criterion,num_deg_clusters,max_cluster_size,family_mode,family_mode_count,family_mode_frac,exact_q_mode,exact_q_mode_count,exact_q_mode_frac,n_unique_families,n_unique_exact_q
ortho_1.05_1.20,1.5,score_q,0,1,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
ortho_1.05_1.20,1.5,score_iso,0,1,"2-axis:(1, 2)",12,1.0,Y1+Z2,12,1.0,1,1
ortho_1.05_1.20,1.5,consensus,0,1,"2-axis:(1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
ortho_1.05_1.20,2.0,score_q,0,1,"3-axis:(1, 1, 2)",12,1.0,X1+Y2+Z1,12,1.0,1,1
ortho_1.05_1.20,2.0,score_iso,0,1,"3-axis:(1, 1, 2)",12,1.0,X1+Y2+Z1,12,1.0,1,1
ortho_1.05_1.20,2.0,consensus,0,1,"3-axis:(1, 1, 2)",12,1.0,X1+Y2+Z1,12,1.0,1,1
ortho_1.05_1.20,5.0,score_q,0,1,"3-axis:(1, 1, 2)",12,1.0,X1+Y2+Z1,12,1.0,1,1
ortho_1.05_1.20,5.0,score_iso,0,1,"3-axis:(1, 1, 2)",12,1.0,X1+Y2+Z1,12,1.0,1,1
ortho_1.05_1.20,5.0,consensus,0,1,"3-axis:(1, 1, 2)",12,1.0,X1+Y2+Z1,12,1.0,1,1
ortho_1.05_1.20,10.0,score_q,0,1,"3-axis:(1, 2, 2)",12,1.0,X1+Y2+Z2,12,1.0,1,1
ortho_1.05_1.20,10.0,score_iso,0,1,"3-axis:(1, 2, 2)",12,1.0,X1+Y2+Z2,12,1.0,1,1
ortho_1.05_1.20,10.0,consensus,0,1,"3-axis:(1, 2, 2)",12,1.0,X1+Y2+Z2,12,1.0,1,1
tet_1.20,0.0,score_q,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.20,0.0,score_iso,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.20,0.0,consensus,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.20,0.5,score_q,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.20,0.5,score_iso,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.20,0.5,consensus,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.20,1.0,score_q,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.20,1.0,score_iso,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.20,1.0,consensus,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.20,1.5,score_q,6,2,"3-axis:(1, 1, 2)",9,0.75,X1+Y1+Z2,9,0.75,2,2
tet_1.20,1.5,score_iso,6,2,"2-axis:(1, 1)",12,1.0,Y1+Z1,12,1.0,1,1
tet_1.20,1.5,consensus,6,2,"2-axis:(1, 1)",9,0.75,X1+Y1+Z2,9,0.75,2,2
tet_1.20,2.0,score_q,6,2,"3-axis:(1, 1, 1)",5,0.4166666666666667,X1+Y1+Z1,5,0.4166666666666667,3,3
tet_1.20,2.0,score_iso,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
tet_1.20,2.0,consensus,6,2,"3-axis:(1, 1, 2)",7,0.5833333333333334,X1+Y1+Z2,7,0.5833333333333334,2,2
tet_1.20,5.0,score_q,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y2+Z1,10,0.8333333333333334,1,2
tet_1.20,5.0,score_iso,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
tet_1.20,5.0,consensus,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
tet_1.20,10.0,score_q,6,2,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
tet_1.20,10.0,score_iso,6,2,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
tet_1.20,10.0,consensus,6,2,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
ortho_1.10_1.30,0.0,score_q,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.10_1.30,0.0,score_iso,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.10_1.30,0.0,consensus,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.10_1.30,0.5,score_q,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.10_1.30,0.5,score_iso,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.10_1.30,0.5,consensus,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.10_1.30,1.0,score_q,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.10_1.30,1.0,score_iso,0,1,"1-axis:(1,)",12,1.0,Y1,12,1.0,1,1
ortho_1.10_1.30,1.0,consensus,0,1,"1-axis:(1,)",12,1.0,Y1,12,1.0,1,1
ortho_1.10_1.30,1.5,score_q,0,1,"3-axis:(1, 2, 2)",12,1.0,X1+Y2+Z2,12,1.0,1,1
ortho_1.10_1.30,1.5,score_iso,0,1,"2-axis:(1, 1)",12,1.0,Y1+Z1,12,1.0,1,1
ortho_1.10_1.30,1.5,consensus,0,1,"2-axis:(1, 1)",12,1.0,X1+Y2+Z2,12,1.0,1,1
ortho_1.10_1.30,2.0,score_q,0,1,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
ortho_1.10_1.30,2.0,score_iso,0,1,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
ortho_1.10_1.30,2.0,consensus,0,1,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
ortho_1.10_1.30,5.0,score_q,0,1,"3-axis:(1, 2, 2)",12,1.0,X1+Y2+Z2,12,1.0,1,1
ortho_1.10_1.30,5.0,score_iso,0,1,"3-axis:(1, 2, 2)",12,1.0,X1+Y2+Z2,12,1.0,1,1
ortho_1.10_1.30,5.0,consensus,0,1,"3-axis:(1, 2, 2)",12,1.0,X1+Y2+Z2,12,1.0,1,1
ortho_1.10_1.30,10.0,score_q,0,1,"3-axis:(1, 2, 2)",12,1.0,X1+Y2+Z2,12,1.0,1,1
ortho_1.10_1.30,10.0,score_iso,0,1,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
ortho_1.10_1.30,10.0,consensus,0,1,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
tet_1.35,0.0,score_q,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.35,0.0,score_iso,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.35,0.0,consensus,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.35,0.5,score_q,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.35,0.5,score_iso,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.35,0.5,consensus,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.35,1.0,score_q,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.35,1.0,score_iso,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.35,1.0,consensus,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.35,1.5,score_q,6,2,"2-axis:(1, 2)",10,0.8333333333333334,Y1+Z2,10,0.8333333333333334,2,2
tet_1.35,1.5,score_iso,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.35,1.5,consensus,6,2,"1-axis:(1,)",12,1.0,Y1+Z2,10,0.8333333333333334,1,2
tet_1.35,2.0,score_q,6,2,"3-axis:(1, 2, 2)",12,1.0,X1+Y2+Z2,12,1.0,1,1
tet_1.35,2.0,score_iso,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
tet_1.35,2.0,consensus,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
tet_1.35,5.0,score_q,6,2,"3-axis:(1, 2, 2)",12,1.0,X1+Y2+Z2,12,1.0,1,1
tet_1.35,5.0,score_iso,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
tet_1.35,5.0,consensus,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
tet_1.35,10.0,score_q,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y2+Z1,12,1.0,1,1
tet_1.35,10.0,score_iso,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y2+Z1,12,1.0,1,1
tet_1.35,10.0,consensus,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y2+Z1,12,1.0,1,1
ortho_1.20_1.50,0.0,score_q,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.20_1.50,0.0,score_iso,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.20_1.50,0.0,consensus,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.20_1.50,0.5,score_q,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
