geometry,beta,branch_id,parent_branch_id,branch_overlap_prev,local_mode_index,eigenvalue,dominant_q,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,score_q,score_iso,score_q_only,score_xyz_only
cubic,0.75,4,4,0.7035220952111362,3,2.434421015921542,X1+Y1+Z2,0.10711405496259996,9.300115760959352e-06,0.19997376411660228,1.5324059159977925,9.961731107779421e-07,1.8597791554391805e-06,0.10711405496259996,9.300115760959352e-06
cubic,0.75,3,3,0.7350073455386897,4,2.434421015921561,Y1+Z1,0.11311581968716908,8.869184645952375e-06,0.21790612319575736,1.5324059159977914,1.0032450911837574e-06,1.932649642106818e-06,0.11311581968716908,8.869184645952375e-06
cubic,0.75,7,7,0.9285917959734571,5,3.8298689304188294,Y1,0.16581760559306447,2.7827103841014194e-05,0.2620271431505693,2.06190657667129,4.614223729506541e-06,7.291456521615183e-06,0.16581760559306447,2.7827103841014194e-05
cubic,0.75,6,6,0.7902887223311511,6,3.8298689304188356,X1,0.12671226158909793,2.717965308547676e-05,0.19248820418377133,2.061906576671289,3.443995311667864e-06,5.231762612761321e-06,0.12671226158909793,2.717965308547676e-05
cubic,0.75,5,5,0.7620698633439349,7,3.829868930418879,X1+Z1,0.08980351363407893,3.20105306222371e-05,0.25463335298648726,2.061906576671289,2.8746581231681708e-06,8.150948743216859e-06,0.08980351363407893,3.20105306222371e-05
cubic,0.75,8,8,0.9979319025585996,8,5.225316844916123,Z1,0.10016816985872998,7.067664376830013e-05,0.9999999999999885,2.5914072373447774,7.079550058028037e-06,7.067664376829931e-05,0.10016816985872998,7.067664376830013e-05
cubic,0.75,11,11,0.814191589386171,9,5.381011673328342,X1+Y1+Z2,0.17047928947497173,5.098499705480249e-06,0.7247764619373217,1.789958159855068,8.691886071786254e-07,3.6952725777264514e-06,0.17047928947497173,5.098499705480249e-06
cubic,0.75,10,10,0.7425742638690453,10,5.381011673328363,X1+Y2+Z1,0.1261680827291452,2.087268806522462e-05,0.7209024965173993,1.7899581598550613,2.633467034592902e-06,1.5047172935249356e-05,0.1261680827291452,2.087268806522462e-05
cubic,0.75,9,9,0.881154197359504,11,5.381011673328437,X1+Y2+Z2,0.12323938503199053,1.5074108302593144e-05,0.6123246997859497,1.789958159855066,1.8577238371172016e-06,9.23024884092624e-06,0.12323938503199053,1.5074108302593144e-05
cubic,0.75,13,13,0.6622872022175958,12,6.776459587825693,Y1+Z2,0.09785082122888515,6.574573451807343e-05,0.5687278910393638,2.3194588202937108,6.433274114889747e-06,3.73914329372978e-05,0.09785082122888515,6.574573451807343e-05
cubic,0.75,14,14,0.7228115762616517,13,6.77645958782571,Y1+Z1,0.12182905728961123,4.4152766046168285e-05,0.49890372084158596,2.319458820269205,5.379089864133438e-06,2.2027979265881398e-05,0.12182905728961123,4.4152766046168285e-05
cubic,0.75,12,12,0.5469867784812846,14,6.776459587825713,Y1+Z1,0.1261528539009856,4.267872825886115e-05,0.6260015732216367,2.3194588205381943,5.384043370719976e-06,2.6716951033145803e-05,0.1261528539009856,4.267872825886115e-05
cubic,0.75,15,15,0.6354063285871663,15,6.7764595878257134,X1+Y1+Z2,0.11097805131751781,5.5033212271795884e-05,0.483842745171139,2.3194588067799353,6.107478655667214e-06,2.6627420501171736e-05,0.11097805131751781,5.5033212271795884e-05
cubic,0.75,18,18,0.847529241084418,16,8.171907502322862,Z1,0.16998339496174256,0.00017184855230857095,0.46385058647279914,2.84895948120206,2.921140034067149e-05,7.971205177283214e-05,0.16998339496174256,0.00017184855230857095
