geometry,beta,local_mode_index,eigenvalue,variant,dominant_q,q_family,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,score_q,score_iso,score_q_only,score_xyz_only
cubic,0.0,4,0.9607359798385471,y+_r1,X1+Y2+Z2,"3-axis:(1, 2, 2)",6.784987805543363e-19,6.30142318212177e-17,0.17514371841436518,2.4879907999410187,4.2755079448264464e-35,1.1036546874192882e-17,6.784987805543363e-19,6.30142318212177e-17
cubic,0.0,4,0.9607359798385471,z+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",4.45708263911419e-19,5.81794932446527e-17,0.17514371841436518,2.4879907999410187,2.593108092932029e-35,1.0189772782331914e-17,4.45708263911419e-19,5.81794932446527e-17
cubic,0.0,4,0.9607359798385471,xy+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",9.022997423529064e-19,6.993907125251863e-17,0.17514371841436518,2.4879907999410187,6.310600597154911e-35,1.2249389001613345e-17,9.022997423529064e-19,6.993907125251863e-17
cubic,0.0,4,0.9607359798385471,xz+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",5.722884372825761e-19,5.592876984584484e-17,0.17514371841436518,2.4879907999410187,3.2007388294215404e-35,9.795572717142487e-18,5.722884372825761e-19,5.592876984584484e-17
cubic,0.0,4,0.9607359798385471,yz+_r1,X1,"1-axis:(1,)",5.299232094559178e-19,6.577894736105573e-17,0.17514371841436518,2.4879907999410187,3.485779090020253e-35,1.1520769434198095e-17,5.299232094559178e-19,6.577894736105573e-17
cubic,0.0,4,0.9607359798385471,xyz+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",5.410469683337309e-19,6.374506439674496e-17,0.17514371841436518,2.4879907999410187,3.4489073838097314e-35,1.1164547609009076e-17,5.410469683337309e-19,6.374506439674496e-17
cubic,0.0,4,0.9607359798385471,base_r2,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.0159526217246594e-17,2.2454228548534976e-16,0.17514371841436518,2.4879907999410187,2.2812432362688804e-33,3.9327170821164094e-17,1.0159526217246594e-17,2.2454228548534976e-16
cubic,0.0,4,0.9607359798385471,base_avg12,X1+Y2+Z1,"3-axis:(1, 1, 2)",3.567817994759855e-18,1.3757521677940602e-16,0.17514371841436518,2.4879907999410187,4.908433340585527e-34,2.4095435028407536e-17,3.567817994759855e-18,1.3757521677940602e-16
cubic,0.0,5,1.9214719596769054,base_r1,X1+Y2+Z1,"3-axis:(1, 1, 2)",2.3565654879596732e-11,3.405726211833387e-13,0.22882228167234106,3.1009816001187978,8.025816852246195e-24,7.793060425430144e-14,2.3565654879596732e-11,3.405726211833387e-13
cubic,0.0,5,1.9214719596769054,x+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",2.668337140716127e-11,3.9833319828441555e-13,0.22882228167234106,3.1009816001187978,1.0628872673625475e-23,9.114751129728102e-14,2.668337140716127e-11,3.9833319828441555e-13
