y,double_slit_intensity,double_slit_intensity_norm,one_slit_intensity,one_slit_intensity_norm
0.01799999999999996,0.0034957615982348254,0.7410239253723402,0.0012528985692839792,0.9918960244717782
0.01871999999999996,0.003406837415141604,0.7221739708303768,0.0012520662154181393,0.9912370657094961
0.019439999999999957,0.003316061881939241,0.7029315711268763,0.0012512016889308988,0.9905526364933032
0.020159999999999956,0.0032236042259451486,0.6833325986997911,0.001250305043679732,0.9898427794611396
0.020879999999999954,0.003129636557441538,0.6634135371116688,0.0012493763355122894,0.9891075388265308
0.021599999999999953,0.0030343335260625405,0.6432114082113433,0.001248415622261731,0.9883469603748922
0.022320000000000007,0.00293787197252147,0.6227636983078383,0.001247422963741904,0.9875610914597116
0.023040000000000005,0.0028404305764073174,0.6021082835110367,0.0012463984217423454,0.9867499809985932
0.023760000000000003,0.002742189500786922,0.5812833543952223,0.0012453420600231266,0.9859136794691756
0.024480000000000002,0.002643330034355206,0.560327340142867,0.0012442539443095351,0.985052238904922
0.0252,0.002544034231879859,0.5392788323268786,0.0012431341422865887,0.9841657128907764
0.02592,0.0024444845536895545,0.5181765084900981,0.00124198272359339,0.9832541565586952
0.026639999999999997,0.002344863504955615,0.4970590556810138,0.0012407997598173164,0.9823176265830467
0.027359999999999995,0.0022453532755163977,0.4759650941045191,0.0012395853244880528,0.9813561811758873
0.028079999999999994,0.0021461353809913383,0.4549331010460498,0.0012383394930714582,0.9803698800821057
0.028799999999999992,0.0020473903059276153,0.43400133522659157,0.0012370623429632775,0.9793587845744446
0.02951999999999999,0.001949297149716945,0.4132077617448938,0.0012357539534826867,0.9783229574483905
0.03023999999999999,0.0018520332760127397,0.39258997776168286,0.0012344144058656855,0.9772624630169431
0.030959999999999988,0.0017557739663693135,0.37218513907885586,0.001233043783258326,0.9761773671052539
0.031679999999999986,0.0016606920788144132,0.3520298877644295,0.00123164217070979,0.975067737045147
0.032399999999999984,0.0015669577120547078,0.33216028097155187,0.0012302096551653021,0.9739336416695065
0.03311999999999998,0.001474737876000471,0.31261172109704244,0.001228746325458889,0.9727751513065458
0.03383999999999998,0.0013841961692810103,0.29341888742181566,0.0012272522723059882,0.9715923377739557
0.03455999999999998,0.0012954924644062126,0.27461566937211135,0.0012257275882958916,0.9703852743729219
0.03527999999999998,0.0012087826012119926,0.25623510153672907,0.0012241723678840409,0.9691540358820249
0.035999999999999976,0.0011242180892085116,0.23830930057145217,0.0012225867073841746,0.9678986985510244
0.036719999999999975,0.0010419458194298402,0.22086940411756706,0.0012209707049603072,0.9666193400945079
0.03743999999999997,0.0009621077863622012,0.20394551185681845,0.0012193244606185725,0.9653160396854341
0.03815999999999997,0.0008848408205052848,0.18756662882033956,0.0012176480761989035,0.9639888779485456
0.03887999999999997,0.000810276332097257,0.1717606110640379,0.001215941655366571,0.9626379369536703
0.03959999999999997,0.0007385400665091192,0.15655411381762477,0.0012142053036035667,0.9612633002088994
0.04031999999999997,0.0006697518717881077,0.14197254220897165,0.0012124391281998377,0.9598650526536485
0.041039999999999965,0.0006040254788028218,0.1280400046597535,0.0012106432382443777,0.9584432806516041
0.041759999999999964,0.0005414682944148651,0.11477926904242405,0.0012088177446161635,0.956998071983548
0.04247999999999996,0.0004821812080730419,0.10221172168247519,0.001206962759974955,0.9555295158400746
0.04319999999999996,0.00042625841219657456,0.09035732928366258,0.0012050783987519389,0.9540377028141833
0.04391999999999996,0.00037378723668353035,0.07923460384746275,0.0012031647771402402,0.9525227248937664
0.04463999999999996,0.00032484799784972176,0.06886057065147042,0.001201222013085276,0.9509846754539726
0.045359999999999956,0.00027951386207179574,0.05925073934475762,0.0011992502262749818,0.9494236492494695
0.046079999999999954,0.00023785072437620142,0.05041907821142775,0.0011972495381298834,0.9478397424065835
0.04679999999999995,0.00019991710218323353,0.042377991646709405,0.0011952200717930358,0.9462330524153348
0.04751999999999995,0.00016576404438248485,0.03513830088296896,0.0011931619521198197,0.9446036781213591
0.048240000000000005,0.00013543505588289742,0.028709227995994836,0.0011910753056675984,0.9429517197177198
0.048960000000000004,0.00010896603774722566,0.02309838321483148,0.0011889602606852405,0.9412772787366125
0.04968,8.638524298716135e-05,0.01831175555132626,0.0011868169471025009,0.9395804580409589
0.0504,6.771324806184509e-05,0.014353706758446072,0.001184645496519271,0.9378613618158962
0.05112,5.296294008880931e-05,0.011226968619280879,0.0011824460421946909,0.9361200955601569
0.05184,4.2139519742927676e-05,0.008932643561556706,0.001180218719036129,0.9343567660773449
0.052559999999999996,3.524051978554889e-05,0.007470208585401041,0.0011779636635880306,0.9325714814671066
0.053279999999999994,3.225583913285289e-05,0.0068375224850787345,0.00117568101402063,0.9307643511161948
0.05399999999999999,3.3167792339605e-05,0.0070308363384503645,0.00117337091011854,0.9289354856894354
0.05471999999999999,3.795117434200678e-05,0.00804480723102067,0.0011710334932692067,0.9270849971205866
0.05543999999999999,4.6573340271290605e-05,0.009872515174650402,0.0011686689064512332,0.9252129986030956
0.05615999999999999,5.899430011816834e-05,0.012505483174319832,0.0011662772942225897,0.9233196045807643
0.056879999999999986,7.516682799729222e-05,0.01593370038977108,0.0011638588027086778,0.9214049307383009
0.057599999999999985,9.503658573056202e-05,0.020145648332428216,0.0011614135795902881,0.9194690939917849
0.05831999999999998,0.00011854226043852112,0.02512833003172158,0.0011589417740914233,0.9175122124790279
0.05903999999999998,0.00014561571580024629,0.03086730209882956,0.0011564435369670017,0.9155344055498383
0.05975999999999998,0.00017618215661414517,0.03734670960991783,0.0011539190204904442,0.9135357937561941
0.06047999999999998,0.00021016030626498132,0.04454932372521256,0.0011513683784411342,0.9115164988423153
0.06119999999999998,0.00024746259667629425,0.05245658195470046,0.0011487917660917583,0.9094766437346418
0.061919999999999975,0.00028799537030225087,0.061048630975921274,0.0011461893401955396,0.9074163525317259
0.06263999999999997,0.0003316590936888858,0.07030437190421406,0.001143561258973341,0.9053357504940226
0.06335999999999997,0.0003783485821117228,0.08020150791091064,0.0011409076821006648,0.9032349640335975
0.06407999999999997,0.0004279532347749552,0.09071659408034535,0.001138228770694532,0.9011141207037391
0.06479999999999997,0.00048035728003677485,0.10182508939218579,0.001135524687300247,0.8989733491884804
0.06551999999999997,0.0005354400301060482,0.11350141071147919,0.001132795595878059,0.8968127792920398
0.06623999999999997,0.000593076144637505,0.1257189886649861,0.0011300416617897066,0.8946325419281684
0.06695999999999996,0.0006531359026357959,0.13845032527880993,0.0011272630517848556,0.8924327691094124
0.06767999999999996,0.0007154854820634097,0.1516670532490739,0.00112445993398743,0.8902135939362923
0.06839999999999996,0.0007799872465333954,0.16533999671441948,0.0011216324778818333,0.8879751505863949
0.06911999999999996,0.0008465000384552229,0.1794392333964272,0.0011187808542990703,0.8857175743033849
0.06983999999999996,0.0009148794779909304,0.19393415797168903,0.0011159052354027625,0.8834410013859351
0.07055999999999996,0.0009849782671689632,0.20879354653719745,0.0011130057946750604,0.881145569176572
0.07127999999999995,0.0010566464984948514,0.22398562202896416,0.0011100827069024564,0.8788314160504455
0.07199999999999995,0.0011297319673910745,0.23947812045234187,0.0011071361481614962,0.8764986814040158
0.07271999999999995,0.0012040804877931622,0.25523835778139775,0.0011041662958043957,0.874147505643667
0.07343999999999995,0.001279536210225285,0.2712332973838842,0.0011011733284445587,0.8717780301742419
0.07415999999999995,0.0013559419416762587,0.28742961782785686,0.001098157425941998,0.8693903973875001
0.07488,0.0014331394665961189,0.3037937809258294,0.0010951187693886621,0.8669847506505008
0.0756,0.0015109698683340182,0.32029209987247803,0.001092057541093677,0.8645612342939202
0.07632,0.001589273850340545,0.3368908073324093,0.001088973924568486,0.8621199936002858
0.07704,0.0016678920564609572,0.35355612333522163,0.001085868104511905,0.8596611747921455
0.07776,0.001746665389651147,0.370254322836221,0.0010827402667950908,0.8571849250201676
0.07848,0.0018254353284546173,0.38695180280252095,0.0010795905984464184,0.8546913923511678
0.07919999999999999,0.0019040442405866794,0.40361514868593695,0.001076419287636278,0.8521807257560736
0.07991999999999999,0.0019823356929815563,0.4202112001460961,0.0010732265236617822,0.8496530750978172
0.08063999999999999,0.0020601547576687153,0.4367071158894354,0.0010700124969313944,0.8471085911191664
0.08135999999999999,0.002137348312856916,0.4530704374923419,0.0010667773989494773,0.8445474254304912
0.08207999999999999,0.0022137653386178065,0.4692691520795173,0.001063521422300754,0.8419697304974632
0.08279999999999998,0.0022892572065756132,0.48527175373176723,0.0010602447606347044,0.8393756596287006
0.08351999999999998,0.002363677963025323,0.5010473035007759,0.0010569476086498687,0.836765366963344
0.08423999999999998,0.0024368846049189078,0.5165654879120652,0.0010536301620780893,0.8341390074585789
0.08495999999999998,0.00250873734817736,0.5317966758411948,0.0010502926176686736,0.831496736877099
0.08567999999999998,0.00257909988780566,0.5467119736523665,0.0010469351731724824,0.8288387117745083
0.08639999999999998,0.002647839649308246,0.561283278492927,0.0010435580273259483,0.82616508948667
0.08711999999999998,0.0027148280309239217,0.5754833296417965,0.0010401613798350327,0.823476028117004
0.08783999999999997,0.002779940636221532,0.5892857578145926,0.001036745431359104,0.8207716865237252
0.08855999999999997,0.002843057496621046,0.6026651323331647,0.0010333103834947544,0.8180522243070305
0.08927999999999997,0.002904063283428679,0.6155970060723371,0.0010298564387595552,0.8153178017962385
0.08999999999999997,0.002962847508999743,0.6280579581019717,0.0010263838005757427,0.8125685800368737
0.09071999999999997,0.0030193047166683965,0.6400256339478624,0.0010228926732538507,0.8098047207777093
0.09143999999999997,0.0030733346591097937,0.6514787834005545,0.0010193832619762736,0.8070263864577534
0.09215999999999996,0.003124842464827065,0.662397295806893,0.0010158557727807775,0.8042337401931964
0.09287999999999996,0.0031737387924828573,0.6727622327848846,0.001012310412543955,0.8014269457643111
0.09359999999999996,0.0032199399728232323,0.6825558583084179,0.0010087473889646176,0.7986061676023058
0.09431999999999996,0.0032633681379698244,0.6917616661143323,0.001005166910547144,0.7957715707761408
0.09503999999999996,0.003303951337884961,0.7003644043904408,0.0010015691865847697,0.7929233209792994
0.09575999999999996,0.0033416236438433035,0.7083500977092229,0.0009979544271428258,0.7900615845165185
0.09647999999999995,0.003376325238772656,0.7157060661780722,0.000994322843041934,0.7871865282904841
0.09719999999999995,0.003408002494355964,0.7224209417832104,0.00099067464584115,0.7842983197884865
0.09791999999999995,0.0034366080348157808,0.7284846819105789,0.0009870100478210609,0.7813971270690384
0.09863999999999995,0.003462100787331847,0.7338885800332483,0.0009833292619668384,0.7784831187484593
0.09935999999999995,0.0034844460190718313,0.7386252735611133,0.0009796325019512551,0.7755564639874287
0.10007999999999995,0.00350361536084426,0.7426887488547895,0.0009759199821176501,0.7726173324775014
0.1008,0.0035195868174119106,0.746074343411824,0.0009721919174628622,0.7696658944275951
0.10152,0.00353234476453243,0.7487787452393725,0.0009684485236201231,0.766702320550448
0.10224,0.0035418799328215435,0.7507999894335569,0.0009646900168419144,0.7637267820490464
0.10296,0.003548189378562181,0.7521374519916477,0.000960916613982789,0.7607394506030253
0.10368,0.003551276441610456,0.7527918408890656,0.0009571285324821616,0.7577404983550434
0.10439999999999999,0.0035511506905765962,0.7527651844589539,0.0009533259903470656,0.7547300978971327
0.10511999999999999,0.003547827855485373,0.7520608171176837,0.0009495092061348813,0.7517084222570242
0.10583999999999999,0.003541329748146619,0.7506833624851694,0.0009456783989360363,0.7486756448844522
0.10655999999999999,0.0035316841704915894,0.7486387139542103,0.00094183378835668,0.7456319396374385
0.10727999999999999,0.003518924811155552,0.745934012768294,0.0009379755945013254,0.7425774807685496
0.10799999999999998,0.003503091130610686,0.7425776236723176,0.0009341040379554835,0.7395124429111491
0.10871999999999998,0.0034842282351763127,0.738579108205552,0.0009302193397682598,0.7364370010656197
0.10943999999999998,0.0034623867402556155,0.733949195710859,0.0009263217214349406,0.7333513305855767
0.11015999999999998,0.003437622623169097,0.7286997521386491,0.000922411404879554,0.7302556071640625
0.11087999999999998,0.003409997065975209,0.7228437467283403,0.0009184886124374225,0.727150006819733
0.11159999999999998,0.003379576288687824,0.7163952166541617,0.0009145535668376904,0.7240347058830259
0.11231999999999998,0.003346431373318382,0.7093692297259914,0.0009106064911858493,0.7209098809823254
0.11303999999999997,0.0033106380791875297,0.7017818452395195,0.0009066476089462371,0.7177757090301079
0.11375999999999997,0.003272276649967219,0.6936500730734537,0.0009026771439245394,0.7146323672090882
0.11447999999999997,0.0032314316129288894,0.6849918311345855,0.0008986953202502775,0.7114800329583554
0.11519999999999997,0.0031881915708871994,0.6758259012544765,0.0008947023623592847,0.7083188839595003
0.11591999999999997,0.0031426489873411937,0.6661718836441509,0.0008906984949761893,0.7051490981227472
0.11663999999999997,0.0030948999653260772,0.6560501500155766,0.0008866839430968759,0.7019708535730688
0.11735999999999996,0.0030450440204988927,0.6454817954808618,0.0008826589319709631,0.6987843286363142
0.11807999999999996,0.002993183848990182,0.6344885893419556,0.0008786236870842665,0.6955897018253251
0.11879999999999996,0.0029394250905613057,0.6230929248852534,0.0008745784341412698,0.6923871518260588
0.11951999999999996,0.002883876087613432,0.6113177682968469,0.0008705233990475974,0.6891768574837117
0.12023999999999996,0.002826647640599204,0.5991866068152231,0.0008664588078924883,0.6859589977888444
0.12095999999999996,0.0027678527603919407,0.5867233962390263,0.0008623848869312821,0.6827337518635161
0.12167999999999995,0.002707606418169672,0.5739525079080218,0.000858301862567902,0.6795012989474173
0.12239999999999995,0.002646025293372601,0.5608986752756673,0.0008542099613373598,0.6762618183840182
0.12311999999999995,0.0025832275202925365,0.5475869401916934,0.0008501094098882605,0.673015489606719
0.12383999999999995,0.002519332433851514,0.5340425990128099,0.0008460004349653264,0.6697624921250139
0.12455999999999995,0.0024544603151244464,0.5202911486591514,0.0008418832633919294,0.666503005510663
0.12527999999999995,0.00238873213715666,0.5063582327332328,0.0008377581220526438,0.6632372093838783
0.12599999999999995,0.0023222693116224814,0.49226958781718844,0.0008336252378758135,0.6599652833995243
0.12671999999999994,0.0022551934368646373,0.4780509900627136,0.0008294848378161372,0.6566874072333294
0.12744,0.002187626047847036,0.46372820218659955,0.0008253371488372763,0.6534037605681179
0.12816,0.0021196883685450445,0.44932692098296434,0.000821182397894483,0.6501145230800568
0.12888,0.0020515010672876003,0.43487272546120687,0.0008170208119172507,0.64681987442492
0.1296,0.001983184015555093,0.4203910257165073,0.0008128526177919921,0.6435199942243757
0.13032,0.0019148560507249491,0.4059070126371534,0.0008086780423447418,0.6402150620522913
0.13104,0.0018466347432442279,0.3914456085502945,0.0008044973123238878,0.6369052574210634
0.13176,0.0017786361686947724,0.3770314189048093,0.0008003106543829324,0.6335907597679692
0.13248,0.001710974685201728,0.36268868508684843,0.0007961182950632858,0.6302717484415447
0.13319999999999999,0.0016437627166206467,0.34844123846030944,0.0007919204607770898,0.6269484026879862
0.13391999999999998,0.0015771105419219553,0.33431245572101537,0.0007877173777900757,0.6236209016375805
0.13463999999999998,0.0015111260911742199,0.3203252156496917,0.0007835092722044658,0.6202894242911667
0.13535999999999998,0.0014459147485096466,0.3065018573450225,0.0007792963699418977,0.6169541495066184
0.13607999999999998,0.0013815791624363777,0.29286414001406474,0.0007750788967264042,0.6136152559853696
0.13679999999999998,0.0013182190638427566,0.2794332043931884,0.000770857078067421,0.6102729222589616
0.13751999999999998,0.0012559310920185862,0.26622953586844256,0.0007666311392428415,0.6069273266756281
0.13823999999999997,0.0011948086289977212,0.2532729293598586,0.0007624013052821182,0.6035786473869169
0.13895999999999997,0.0011349416425051675,0.24058245602971912,0.0007581678009494002,0.6002270623343401
0.13967999999999997,0.0010764165377701532,0.22817643187021508,0.000753930850726731,0.5968727492360721
0.14039999999999997,0.0010193160184445529,0.21607238822123706,0.0007496906787972765,0.5935158855736719
0.14112000000000002,0.0009637189568435817,0.20428704426427996,0.0007454475090286219,0.5901566485788585
