x,y,u_abs,u_abs_norm,carrier_ge_075,transition_077_085
0.010101010101010102,-0.010285714285714287,4.8188305071853955e-05,0.1625329114789843,0,0
0.010101010101010102,0.0,4.9243766478650104e-05,0.16609284609682337,0,0
0.010101010101010102,0.010285714285714287,4.8188305071854064e-05,0.1625329114789847,0,0
0.010101010101010102,0.020571428571428574,4.515169696296586e-05,0.15229082564047347,0,0
0.010101010101010102,0.03085714285714286,4.0525509179044105e-05,0.13668729344634178,0,0
0.010101010101010102,0.04114285714285715,3.4970021311471026e-05,0.11794935243645502,0,0
0.010101010101010102,0.051428571428571435,2.941646957500361e-05,0.09921794174601277,0,0
0.010101010101010102,0.06171428571428572,2.499017752012879e-05,0.08428863195471857,0,0
0.010101010101010102,0.07200000000000001,2.2620659737884054e-05,0.07629655538395726,0,0
0.010101010101010102,0.0822857142857143,2.2323502412081545e-05,0.0752942822129467,0,0
0.010101010101010102,0.09257142857142858,2.318677088646978e-05,0.07820597496331681,0,0
0.010101010101010102,0.10285714285714287,2.4419803196811308e-05,0.08236483323917103,0,0
0.010101010101010102,0.11314285714285716,2.615035268667518e-05,0.08820175252127983,0,0
0.010101010101010102,0.12342857142857144,2.939620713108228e-05,0.09914959914713316,0,0
0.010101010101010102,0.13371428571428567,3.523195113585064e-05,0.11883280780796306,0,0
0.010101010101010102,0.14400000000000002,4.3811552453073574e-05,0.14777069178910476,0,0
0.010101010101010102,0.15428571428571425,5.4310827300024595e-05,0.1831833859427687,0,0
0.010101010101010102,0.1645714285714286,6.545320188005926e-05,0.22076517219945607,0,0
0.010101010101010102,0.17485714285714282,7.58882032110415e-05,0.255961080108702,0,0
0.010101010101010102,0.18514285714285716,8.437316156051848e-05,0.28457974561814553,0,0
0.010101010101010102,0.1954285714285714,8.98872648464208e-05,0.3031781017943417,0,0
0.010101010101010102,0.20571428571428574,9.172669698206245e-05,0.309382268137774,0,0
0.010101010101010102,0.21599999999999997,8.958347974927744e-05,0.302153474009052,0,0
0.010101010101010102,0.2262857142857143,8.360223294566553e-05,0.2819795032537861,0,0
0.010101010101010102,0.23657142857142854,7.441483410225373e-05,0.25099159694100404,0,0
0.010101010101010102,0.24685714285714289,6.316531078710899e-05,0.2130484118790928,0,0
0.010101010101010102,0.2571428571428571,5.1546877804512655e-05,0.17386094229141863,0,0
0.010101010101010102,0.26742857142857146,4.1803802096211464e-05,0.1409988098866975,0,0
0.010101010101010102,0.2777142857142857,3.621419959048443e-05,0.12214580462097217,0,0
0.010101010101010102,0.28800000000000003,3.525650139925417e-05,0.11891561266658181,0,0
0.010101010101010102,0.29828571428571427,3.658218722797147e-05,0.12338697925908942,0,0
0.010101010101010102,0.3085714285714285,3.721289450986859e-05,0.12551427322937705,0,0
0.010101010101010102,0.31885714285714284,3.531469537986152e-05,0.11911189342566975,0,0
0.010101010101010102,0.32914285714285707,3.0226692125530162e-05,0.10195071746590265,0,0
0.010101010101010102,0.3394285714285714,2.210905662823013e-05,0.07457098435983085,0,0
0.010101010101010102,0.34971428571428564,1.1676929635514527e-05,0.039384771221263326,0,0
0.010101010101010102,0.36,0.0,0.0,0,0
0.020202020202020204,-0.36,0.0,0.0,0,0
0.020202020202020204,-0.3497142857142857,2.2847483717395576e-05,0.07706160328776474,0,0
0.020202020202020204,-0.3394285714285714,4.3234403672876646e-05,0.14582404370795568,0,0
0.020202020202020204,-0.3291428571428571,5.9036890551534516e-05,0.19912378515283352,0,0
0.020202020202020204,-0.31885714285714284,6.880989971883933e-05,0.232086879237681,0,0
0.020202020202020204,-0.30857142857142855,7.216519406308084e-05,0.24340385247061322,0,0
0.020202020202020204,-0.29828571428571427,7.027976321287274e-05,0.23704453842087278,0,0
0.020202020202020204,-0.288,6.663706556111965e-05,0.22475819105724862,0,0
0.020202020202020204,-0.2777142857142857,6.723915707590946e-05,0.2267889677515038,0,0
0.020202020202020204,-0.2674285714285714,7.722827356049292e-05,0.2604809638265092,0,0
0.020202020202020204,-0.2571428571428571,9.58364363653232e-05,0.32324388676879245,0,0
0.020202020202020204,-0.24685714285714283,0.00011835668046195992,0.3992017532010296,0,0
0.020202020202020204,-0.23657142857142857,0.00014022582383462206,0.47296354122428613,0,0
0.020202020202020204,-0.22628571428571428,0.00015808156728430283,0.5331886511378016,0,0
0.020202020202020204,-0.216,0.0001696868365145627,0.572331721093863,0,0
0.020202020202020204,-0.2057142857142857,0.00017382273628643519,0.5862815753272782,0,0
0.020202020202020204,-0.19542857142857142,0.00017022848475912954,0.5741586304664931,0,0
0.020202020202020204,-0.18514285714285714,0.00015953067269018997,0.5380762959783407,0,0
0.020202020202020204,-0.17485714285714285,0.00014313304619427972,0.48276922568916586,0,0
0.020202020202020204,-0.16457142857142856,0.0001230662907145201,0.41508665857669047,0,0
0.020202020202020204,-0.15428571428571428,0.0001018090368883764,0.34338869473963224,0,0
0.020202020202020204,-0.144,8.206786742472754e-05,0.2768042870883875,0,0
0.020202020202020204,-0.1337142857142857,6.638489331138058e-05,0.22390764672116578,0,0
0.020202020202020204,-0.12342857142857142,5.626094088351577e-05,0.18976086647392496,0,0
0.020202020202020204,-0.11314285714285716,5.1038221741481827e-05,0.1721453112738395,0,0
0.020202020202020204,-0.10285714285714287,4.829319665373329e-05,0.16288669719871576,0,0
0.020202020202020204,-0.09257142857142858,4.598278816150839e-05,0.1550939886071364,0,0
0.020202020202020204,-0.0822857142857143,4.3927583301314e-05,0.14816204881147302,0,0
0.020202020202020204,-0.07200000000000001,4.379023711278756e-05,0.14769879790716214,0,0
0.020202020202020204,-0.06171428571428572,4.761069121671636e-05,0.16058469476029857,0,0
0.020202020202020204,-0.051428571428571435,5.561867030337135e-05,0.18759457099637053,0,0
0.020202020202020204,-0.04114285714285715,6.604086111125856e-05,0.2227472706704835,0,0
0.020202020202020204,-0.03085714285714286,7.661198569923988e-05,0.2584023046943971,0,0
0.020202020202020204,-0.020571428571428574,8.546266327547787e-05,0.288254493786392,0,0
0.020202020202020204,-0.010285714285714287,9.128445994703225e-05,0.30789065989880154,0,0
