geometry,beta,criterion,target,same_sector,carrier_vs_space_sector,same_sector_z,carrier_space_z,transition_combo_z,transition_combo_exc,bw_selected,inner_r,outer_r,gap
ortho_1.05_1.20,2.0,xyz_only,0.8,0.8701331495261497,-0.09785038139905222,319358236127.9069,230787056816.4444,275072646472.17566,1.0,0.005,7.399324293474371,8.645808232895291,1.2464839394209202
ortho_1.05_1.20,2.0,xyz_only,0.81,0.8628634799270574,-0.08365140293427198,329343122426.52496,126377289023.63565,227860205725.08032,1.0,0.005,8.645808232895291,10.136567466356647,1.4907592334613557
ortho_1.05_1.20,2.0,xyz_only,0.82,0.9241974575415021,-0.010380761575828346,427513958477.4684,312242443177.26385,369878200827.3661,1.0,0.003,7.399324293474371,9.630680142129112,2.231355848654741
ortho_1.05_1.20,2.0,xyz_only,0.83,0.9646062960826077,0.014934836655391748,289437561001.96063,112059221574.39252,200748391288.17657,1.0,0.003,7.044434186802098,10.136567466356647,3.092133279554549
ortho_1.05_1.20,2.0,xyz_only,0.84,0.9711922393631864,0.009538199611568099,240652034806.07257,68443554923.536156,154547794864.80435,1.0,0.003,6.689544080129826,9.88362380424288,3.1940797241130543
ortho_1.05_1.20,2.0,xyz_only,0.86,0.9684481545495799,0.02168518943321096,,,,,0.007,9.096702699330127,9.630680142129112,0.5339774427989852
tet_1.20,2.0,score_q,0.6,0.7746448021518028,-0.08966247389977933,1.221377405931306,1.1627852086118013,1.1920813072715537,1.0,0.003,6.370506222915094,8.750956798773311,2.380450575858217
tet_1.20,2.0,score_q,0.61,0.7280501363264499,-0.11306596770831445,1.798577176379759,1.0215955908212584,1.4100863836005086,1.0,0.003,8.404368741556004,9.312715460248965,0.908346718692961
tet_1.20,2.0,score_q,0.62,0.7491078144238471,-0.022440375098167875,1.3969091853247686,0.6984359740161209,1.0476725796704447,0.75,0.005,5.777806441898076,10.03545126584118,4.257644823943104
tet_1.20,2.0,score_q,0.63,0.8504184955719132,-0.04202612980993292,3.66782870938838,0.7672178414838434,2.2175232754361116,0.75,0.003,5.026444295025996,7.277078650722107,2.2506343556961106
tet_1.20,2.0,score_q,0.64,0.7872125744015472,-0.04691361476672129,0.8970029094712539,1.040254459424271,0.9686286844477625,0.75,0.003,6.495933556568733,9.259972162429781,2.7640386058610478
tet_1.20,2.0,score_q,0.65,0.8206583441446054,0.0042672343056630035,373636965268.0864,390433617040.92596,382035291154.5062,1.0,0.003,6.603534910439418,7.791408896811724,1.1878739863723062
tet_1.20,2.0,score_q,0.66,0.9382968659112005,0.06324603400939577,239452371715.18884,113746829247.30739,176599600481.2481,1.0,0.005,6.880297876525751,9.332964260486317,2.4526663839605662
tet_1.20,2.0,score_q,0.67,0.8150505032896311,-0.005835665009886748,534736594142.61566,279868081212.43146,407302337677.52356,1.0,0.005,6.355672662829243,9.833001564812825,3.477328901983582
tet_1.20,2.0,score_q,0.68,0.648099933371146,-0.12827937054291416,-20717093609.89249,8495636732.359646,-6110728438.766422,0.5,0.003,7.87005792844764,9.88362380424288,2.0135658757952406
tet_1.20,2.0,score_q,0.69,0.8253564989540761,0.005930374059519239,39042461857.35261,-32257438066.901955,3392511895.2253265,0.5,0.005,5.682505011936506,8.887246702653014,3.2047416907165083
tet_1.20,2.0,score_q,0.7,0.5496492924221367,-0.2149350717849997,,,,,0.005,5.073488700963701,7.727374672768556,2.653885971804855
tet_1.20,2.0,score_q,0.71,0.9122867683544599,0.027785394320611667,208002467366.85956,180596573323.91998,194299520345.38977,1.0,0.005,6.319086675286279,8.064546065283897,1.7454593899976185
tet_1.20,2.0,score_q,0.72,0.952360495235312,0.1552230081870778,,,,,0.007,6.46359902286716,9.418328230945047,2.954729208077887
tet_1.20,2.0,score_q,0.73,0.8369874300596721,-0.06185185261684589,-23432501538.479755,-162196061190.85495,-92814281364.66736,0.0,0.003,6.211728720705274,7.398089554913328,1.1863608342080543
tet_1.20,2.0,score_q,0.74,0.9773422191219301,0.12741282453402814,,,,,0.003,6.902907504394714,8.82424877942507,1.921341275030355
tet_1.20,2.0,score_q,0.75,0.6198495285694509,-0.24785243727879724,,,,,0.005,5.602475263213801,8.665168511804163,3.062693248590362
tet_1.20,2.0,score_q,0.76,0.7525596788207845,-0.1300027071150548,,,,,0.005,6.4385165415801335,7.920483551887744,1.4819670103076108
tet_1.20,2.0,score_q,0.77,0.5145395975611559,-0.33616669022959167,,,,,0.007,6.76023421859774,8.246102068205289,1.4858678496075486
tet_1.20,2.0,score_q,0.78,0.7542838513819612,-0.09849596317665876,,,,,0.005,5.756642800422055,8.984738556353276,3.2280957559312213
tet_1.20,2.0,score_q,0.79,0.641821455602942,-0.2104190805641255,,,,,0.005,7.123903424387503,9.366127880694904,2.242224456307401
tet_1.20,2.0,score_q,0.8,0.7773042599807364,-0.1172990814988284,,,,,0.01,6.328495906970542,8.511493286844939,2.1829973798743962
tet_1.20,2.0,score_q,0.81,0.8025433497522704,-0.05164585167785618,,,,,0.003,6.824147013668682,8.396086592463883,1.5719395787952006
tet_1.20,2.0,score_q,0.82,0.9191410270041068,0.037703863008003546,,,,,0.01,6.38229029390241,8.153708745046023,1.7714184511436128
tet_1.20,2.0,score_q,0.83,0.9227669895088034,0.07388190998989552,,,,,0.003,6.04180833425786,7.727374672768556,1.6855663385106956
tet_1.20,2.0,score_q,0.84,0.9124575616092077,0.023607539201468075,,,,,0.01,6.043241798203446,8.089533909777487,2.046292111574041
tet_1.20,2.0,score_q,0.85,0.9560390455276733,0.04805142857530609,,,,,0.005,6.206152825629813,8.453795068341572,2.247642242711759
tet_1.20,2.0,score_q,0.86,0.9520807881390883,0.08113466463780872,,,,,0.007,6.352440796507135,7.964342674045181,1.6119018775380463
tet_1.20,2.0,score_iso,0.6,0.9767032728985208,0.06015763014193087,2.3472768220848503,1.8502147466093783,2.0987457843471145,1.0,0.003,8.874119674649425,10.331989159885913,1.457869485236488
tet_1.20,2.0,score_iso,0.61,0.9162020180887055,-0.06624550815019126,4.756297589000616,3.6142070181781376,4.185252303589377,1.0,0.003,5.545268253204709,9.559200489289926,4.013932236085218
tet_1.20,2.0,score_iso,0.62,0.7800656913024909,-0.13736875993813524,3.081200217807643,-1.104750294820042,0.9882249614938005,0.5,0.005,8.874119674649425,9.420721840708387,0.5466021660589622
tet_1.20,2.0,score_iso,0.63,0.8292812255425686,-0.15205763275525863,1.7205213459389508,-0.17868870670761788,0.7709163196156664,0.75,0.01,6.98212002188447,8.856141908298444,1.8740218864139733
tet_1.20,2.0,score_iso,0.64,0.6533862296076387,-0.2293041307692273,1.5308762951993167,0.0475175215550516,0.7891969083771841,0.75,0.003,6.98212002188447,9.668856532832184,2.6867365109477133
tet_1.20,2.0,score_iso,0.65,0.8733843677075439,-0.07036817406913276,7.473588058032787,4.326902581349028,5.9002453196909075,1.0,0.003,8.2915619758885,10.805091392487155,2.5135294165986544
tet_1.20,2.0,score_iso,0.66,0.9355049993407126,-0.048860541721605144,6.91922002860414,-0.003270627037670075,3.4579747007832347,0.75,0.003,6.224949798994366,6.98212002188447,0.757170222890104
